job started
Epoch: 1 Learning rate: 1.000
0.261 perplexity: 330.895 speed: 1003 wps
0.262 perplexity: 330.614 speed: 1003 wps
0.263 perplexity: 330.288 speed: 1004 wps
0.264 perplexity: 329.938 speed: 1004 wps
0.265 perplexity: 329.625 speed: 1004 wps
0.266 perplexity: 329.306 speed: 1004 wps
0.267 perplexity: 328.949 speed: 1004 wps
0.268 perplexity: 328.685 speed: 1004 wps
0.269 perplexity: 328.370 speed: 1004 wps
0.270 perplexity: 328.069 speed: 1003 wps
0.271 perplexity: 327.745 speed: 1003 wps
0.272 perplexity: 327.424 speed: 1004 wps
0.273 perplexity: 327.099 speed: 1003 wps
0.274 perplexity: 326.784 speed: 1004 wps
0.275 perplexity: 326.501 speed: 1004 wps
0.276 perplexity: 326.137 speed: 1004 wps
0.277 perplexity: 325.843 speed: 1004 wps
0.278 perplexity: 325.545 speed: 1004 wps
0.279 perplexity: 325.239 speed: 1004 wps
0.280 perplexity: 324.920 speed: 1004 wps
0.281 perplexity: 324.607 speed: 1004 wps
0.282 perplexity: 324.292 speed: 1004 wps
0.283 perplexity: 324.013 speed: 1004 wps
0.284 perplexity: 323.735 speed: 1003 wps
0.285 perplexity: 323.434 speed: 1003 wps
0.286 perplexity: 323.101 speed: 1004 wps
0.287 perplexity: 322.803 speed: 1004 wps
0.288 perplexity: 322.496 speed: 1004 wps
0.289 perplexity: 322.215 speed: 1004 wps
0.290 perplexity: 321.912 speed: 1004 wps
0.291 perplexity: 321.686 speed: 1004 wps
0.292 perplexity: 321.463 speed: 1004 wps
0.293 perplexity: 321.201 speed: 1004 wps
0.294 perplexity: 320.920 speed: 1004 wps
0.295 perplexity: 320.672 speed: 1004 wps
0.296 perplexity: 320.375 speed: 1004 wps
0.297 perplexity: 320.074 speed: 1004 wps
0.298 perplexity: 319.788 speed: 1004 wps
0.299 perplexity: 319.555 speed: 1004 wps
0.300 perplexity: 319.290 speed: 1004 wps
0.301 perplexity: 319.043 speed: 1004 wps
0.302 perplexity: 318.816 speed: 1004 wps
0.303 perplexity: 318.573 speed: 1004 wps
0.304 perplexity: 318.332 speed: 1004 wps
0.305 perplexity: 318.072 speed: 1004 wps
0.306 perplexity: 317.825 speed: 1004 wps
0.307 perplexity: 317.565 speed: 1004 wps
0.308 perplexity: 317.309 speed: 1004 wps
0.309 perplexity: 317.017 speed: 1004 wps
0.310 perplexity: 316.760 speed: 1004 wps
0.311 perplexity: 316.523 speed: 1004 wps
0.312 perplexity: 316.286 speed: 1004 wps
0.313 perplexity: 316.033 speed: 1004 wps
0.314 perplexity: 315.788 speed: 1004 wps
0.315 perplexity: 315.536 speed: 1005 wps
0.316 perplexity: 315.291 speed: 1005 wps
0.317 perplexity: 314.998 speed: 1005 wps
0.318 perplexity: 314.741 speed: 1005 wps
0.319 perplexity: 314.528 speed: 1005 wps
0.320 perplexity: 314.290 speed: 1005 wps
0.321 perplexity: 314.041 speed: 1005 wps
0.322 perplexity: 313.764 speed: 1005 wps
0.323 perplexity: 313.553 speed: 1005 wps
0.324 perplexity: 313.311 speed: 1005 wps
0.325 perplexity: 313.094 speed: 1005 wps
0.326 perplexity: 312.833 speed: 1005 wps
0.327 perplexity: 312.602 speed: 1005 wps
0.328 perplexity: 312.402 speed: 1005 wps
0.329 perplexity: 312.178 speed: 1005 wps
0.330 perplexity: 311.964 speed: 1005 wps
0.331 perplexity: 311.728 speed: 1005 wps
0.332 perplexity: 311.476 speed: 1005 wps
0.333 perplexity: 311.258 speed: 1005 wps
0.334 perplexity: 311.063 speed: 1005 wps
0.335 perplexity: 310.838 speed: 1005 wps
0.336 perplexity: 310.605 speed: 1005 wps
0.337 perplexity: 310.398 speed: 1005 wps
0.338 perplexity: 310.171 speed: 1005 wps
0.339 perplexity: 309.958 speed: 1005 wps
0.340 perplexity: 309.739 speed: 1005 wps
0.341 perplexity: 309.546 speed: 1005 wps
0.342 perplexity: 309.340 speed: 1005 wps
0.343 perplexity: 309.172 speed: 1005 wps
0.344 perplexity: 308.944 speed: 1005 wps
0.345 perplexity: 308.755 speed: 1005 wps
0.346 perplexity: 308.535 speed: 1005 wps
0.347 perplexity: 308.340 speed: 1005 wps
0.348 perplexity: 308.128 speed: 1005 wps
0.349 perplexity: 307.911 speed: 1005 wps
0.350 perplexity: 307.639 speed: 1005 wps
0.351 perplexity: 307.403 speed: 1005 wps
0.352 perplexity: 307.184 speed: 1005 wps
0.353 perplexity: 306.980 speed: 1005 wps
0.354 perplexity: 306.782 speed: 1005 wps
0.355 perplexity: 306.570 speed: 1005 wps
0.356 perplexity: 306.354 speed: 1005 wps
0.357 perplexity: 306.145 speed: 1005 wps
0.358 perplexity: 305.912 speed: 1005 wps
0.359 perplexity: 305.718 speed: 1006 wps
0.360 perplexity: 305.495 speed: 1005 wps
0.361 perplexity: 305.307 speed: 1006 wps
0.362 perplexity: 305.121 speed: 1006 wps
0.363 perplexity: 304.893 speed: 1006 wps
0.364 perplexity: 304.649 speed: 1006 wps
0.365 perplexity: 304.401 speed: 1006 wps
0.366 perplexity: 304.171 speed: 1006 wps
0.367 perplexity: 303.950 speed: 1006 wps
0.368 perplexity: 303.731 speed: 1006 wps
0.369 perplexity: 303.507 speed: 1006 wps
0.370 perplexity: 303.314 speed: 1006 wps
0.371 perplexity: 303.115 speed: 1006 wps
0.372 perplexity: 302.921 speed: 1006 wps
0.373 perplexity: 302.752 speed: 1006 wps
0.374 perplexity: 302.563 speed: 1006 wps
0.375 perplexity: 302.378 speed: 1006 wps
0.376 perplexity: 302.170 speed: 1006 wps
0.377 perplexity: 301.946 speed: 1006 wps
0.378 perplexity: 301.750 speed: 1006 wps
0.379 perplexity: 301.562 speed: 1006 wps
0.380 perplexity: 301.405 speed: 1006 wps
0.381 perplexity: 301.185 speed: 1006 wps
0.382 perplexity: 300.987 speed: 1006 wps
0.383 perplexity: 300.790 speed: 1006 wps
0.384 perplexity: 300.574 speed: 1006 wps
0.385 perplexity: 300.377 speed: 1006 wps
0.386 perplexity: 300.215 speed: 1006 wps
0.387 perplexity: 300.059 speed: 1007 wps
0.388 perplexity: 299.865 speed: 1006 wps
0.389 perplexity: 299.705 speed: 1007 wps
0.390 perplexity: 299.491 speed: 1007 wps
0.391 perplexity: 299.297 speed: 1006 wps
0.392 perplexity: 299.126 speed: 1006 wps
0.393 perplexity: 298.968 speed: 1006 wps
0.394 perplexity: 298.804 speed: 1006 wps
0.395 perplexity: 298.644 speed: 1006 wps
0.396 perplexity: 298.491 speed: 1006 wps
0.397 perplexity: 298.316 speed: 1006 wps
0.398 perplexity: 298.139 speed: 1006 wps
0.399 perplexity: 297.963 speed: 1006 wps
0.400 perplexity: 297.803 speed: 1006 wps
0.401 perplexity: 297.654 speed: 1006 wps
0.402 perplexity: 297.492 speed: 1006 wps
0.403 perplexity: 297.333 speed: 1006 wps
0.404 perplexity: 297.148 speed: 1006 wps
0.405 perplexity: 297.002 speed: 1006 wps
0.406 perplexity: 296.840 speed: 1006 wps
0.407 perplexity: 296.675 speed: 1006 wps
0.408 perplexity: 296.519 speed: 1006 wps
0.409 perplexity: 296.358 speed: 1006 wps
0.410 perplexity: 296.158 speed: 1006 wps
0.411 perplexity: 295.996 speed: 1006 wps
0.412 perplexity: 295.827 speed: 1006 wps
0.413 perplexity: 295.632 speed: 1007 wps
0.414 perplexity: 295.455 speed: 1007 wps
0.415 perplexity: 295.301 speed: 1007 wps
0.416 perplexity: 295.142 speed: 1007 wps
0.417 perplexity: 294.943 speed: 1007 wps
0.418 perplexity: 294.753 speed: 1007 wps
0.419 perplexity: 294.551 speed: 1007 wps
0.420 perplexity: 294.388 speed: 1007 wps
0.421 perplexity: 294.242 speed: 1007 wps
0.422 perplexity: 294.062 speed: 1007 wps
0.423 perplexity: 293.878 speed: 1007 wps
0.424 perplexity: 293.710 speed: 1007 wps
0.425 perplexity: 293.524 speed: 1007 wps
0.426 perplexity: 293.356 speed: 1007 wps
0.427 perplexity: 293.182 speed: 1007 wps
0.428 perplexity: 292.997 speed: 1007 wps
0.429 perplexity: 292.817 speed: 1007 wps
0.430 perplexity: 292.656 speed: 1007 wps
0.431 perplexity: 292.507 speed: 1007 wps
0.432 perplexity: 292.361 speed: 1007 wps
0.433 perplexity: 292.210 speed: 1007 wps
0.434 perplexity: 292.076 speed: 1007 wps
0.435 perplexity: 291.919 speed: 1007 wps
0.436 perplexity: 291.769 speed: 1007 wps
0.437 perplexity: 291.600 speed: 1007 wps
0.438 perplexity: 291.432 speed: 1007 wps
0.439 perplexity: 291.295 speed: 1007 wps
0.440 perplexity: 291.162 speed: 1007 wps
0.441 perplexity: 291.004 speed: 1007 wps
0.442 perplexity: 290.849 speed: 1007 wps
0.443 perplexity: 290.715 speed: 1007 wps
0.444 perplexity: 290.559 speed: 1007 wps
0.445 perplexity: 290.416 speed: 1007 wps
0.446 perplexity: 290.283 speed: 1007 wps
0.447 perplexity: 290.122 speed: 1007 wps
0.448 perplexity: 289.978 speed: 1007 wps
0.449 perplexity: 289.855 speed: 1008 wps
0.450 perplexity: 289.694 speed: 1008 wps
0.451 perplexity: 289.545 speed: 1007 wps
0.452 perplexity: 289.403 speed: 1008 wps
0.453 perplexity: 289.255 speed: 1008 wps
0.454 perplexity: 289.090 speed: 1008 wps
0.455 perplexity: 288.949 speed: 1008 wps
0.456 perplexity: 288.803 speed: 1008 wps
