input           | target          | cbow_exp_soft0  <-> cbow_exp_lstm0  || best model: 0:first, 1:second
gewonnen        | door            | 2.45234012604   <-> 1.39580190182   || 1
door            | Payne           | 14.7725467682   <-> 13.9649810791   || 1
Payne           | </s>            | 1.04400455952   <-> 0.833976566792  || 1
<s>             | Stewart         | 11.335357666    <-> 10.6593074799   || 1
Stewart         | na              | 6.95618534088   <-> 7.31339454651   || 0
na              | een             | 2.05662441254   <-> 2.14024090767   || 0
een             | verbeten        | 8.65767765045   <-> 8.73050117493   || 0
verbeten        | duel            | 7.18004465103   <-> 6.72312021255   || 1
duel            | met             | 1.50203239918   <-> 1.54259622097   || 0
met             | Phil            | 10.4381437302   <-> 9.79201030731   || 1
Phil            | <UNK>           | 1.65070533752   <-> 1.90310120583   || 0
<UNK>           | dat             | 6.04908418655   <-> 5.51767158508   || 1
dat             | met             | 4.44162845612   <-> 4.33965873718   || 1
met             | een             | 2.05662941933   <-> 2.1505522728    || 0
een             | fenomenale      | 9.38632011414   <-> 8.90781593323   || 1
fenomenale      | <UNK>           | 2.36488628387   <-> 2.05983138084   || 1
<UNK>           | van             | 2.67889285088   <-> 2.47717618942   || 1
van             | Stewart         | 11.5290679932   <-> 10.7156219482   || 1
Stewart         | op              | 4.23111057281   <-> 4.26800394058   || 0
op              | de              | 1.34685945511   <-> 1.31475746632   || 1
de              | laatste         | 5.0593829155    <-> 4.45110845566   || 1
laatste         | hole            | 11.1072845459   <-> 9.76704597473   || 1
hole            | werd            | 3.48267102242   <-> 3.31648826599   || 1
werd            | beslecht        | 7.60513687134   <-> 7.40411376953   || 1
beslecht        | </s>            | 1.26968991756   <-> 1.20330584049   || 1
<s>             | Woods           | 10.6806154251   <-> 10.1664981842   || 1
Woods           | eindigde        | 6.81907844543   <-> 6.63521528244   || 1
eindigde        | derde           | 8.2520608902    <-> 7.78227710724   || 1
derde           | </s>            | 2.50408291817   <-> 2.79210114479   || 0
<s>             | voor            | 4.56506919861   <-> 4.99766159058   || 0
voor            | Stewart         | 12.6002502441   <-> 11.9587631226   || 1
Stewart         | twee-en         | 7.79364585876   <-> 8.20261287689   || 0
twee-en         | veertig         | 2.12061691284   <-> 1.96686625481   || 1
veertig         | komma           | 1.6693842411    <-> 1.6364068985    || 1
komma           | was             | 4.93854284286   <-> 4.40205097198   || 1
was             | het             | 1.56542897224   <-> 2.0388917923    || 0
het             | de              | 3.78029513359   <-> 3.64193177223   || 1
de              | derde           | 4.4753651619    <-> 4.36396408081   || 1
derde           | major           | 12.6269454956   <-> 12.3167848587   || 1
major           | in              | 2.69006633759   <-> 2.59783124924   || 1
in              | zijn            | 4.54338264465   <-> 4.32226085663   || 1
zijn            | carrière       | 4.23332548141   <-> 3.16215085983   || 1
carrière       | </s>            | 0.571487367153  <-> 0.60920137167   || 0
<s>             | hij             | 3.24585008621   <-> 3.51154375076   || 0
hij             | won             | 3.28010344505   <-> 4.33538341522   || 0
won             | in              | 2.61185717583   <-> 2.44822120667   || 1
in              | negen-en        | 7.06068897247   <-> 7.08532333374   || 0
negen-en        | tachtig         | 2.6363120079    <-> 3.25526666641   || 0
tachtig         | de              | 4.57641983032   <-> 6.22005748749   || 0
de              | US              | 6.21433925629   <-> 7.07349681854   || 0
US              | <UNK>           | 2.11258482933   <-> 4.00731611252   || 0
<UNK>           | en              | 2.91219139099   <-> 3.00573301315   || 0
en              | in              | 4.03915214539   <-> 3.91235041618   || 1
in              | één-en        | 6.86739206314   <-> 7.19121074677   || 0
één-en        | negentig        | 1.93181729317   <-> 3.25167274475   || 0
negentig        | zijn            | 6.31284284592   <-> 7.8459186554    || 0
zijn            | eerste          | 3.13969802856   <-> 3.82686281204   || 0
eerste          | van             | 4.59587335587   <-> 4.62759208679   || 0
van             | twee            | 3.30503606796   <-> 3.33251047134   || 0
twee            | US              | 10.9002428055   <-> 9.66423797607   || 1
US              | <UNK>           | 1.60544645786   <-> 1.68411815166   || 0
<UNK>           | </s>            | 0.903362691402  <-> 1.1915153265    || 0
<s>             | Payne           | 13.67486763     <-> 12.8290042877   || 1
Payne           | is              | 3.55994510651   <-> 3.20064115524   || 1
is              | een             | 2.21747088432   <-> 2.22446608543   || 0
een             | van             | 3.08664941788   <-> 3.71492624283   || 0
van             | de              | 0.803725302219  <-> 0.89582079649   || 0
de              | weinige         | 2.98254060745   <-> 3.24991106987   || 0
weinige         | profs           | 9.60929965973   <-> 8.98456764221   || 1
profs           | die             | 1.37309896946   <-> 1.89269268513   || 0
die             | met             | 4.2650680542    <-> 3.90134501457   || 1
met             | plezier         | 7.61803483963   <-> 7.74105930328   || 0
plezier         | de              | 4.44968795776   <-> 4.5595293045    || 0
de              | <UNK>           | 2.16605806351   <-> 2.30519104004   || 0
<UNK>           | aantrekt        | 10.3887691498   <-> 10.787153244    || 0
aantrekt        | en              | 2.65433359146   <-> 2.81418418884   || 0
en              | daarbij         | 7.77839183807   <-> 7.93731832504   || 0
daarbij         | gewaagde        | 12.8763456345   <-> 12.545832634    || 1
gewaagde        | <UNK>           | 2.68240356445   <-> 2.20825386047   || 1
<UNK>           | niet            | 5.6348361969    <-> 4.93362426758   || 1
niet            | schuwt          | 10.0237693787   <-> 10.5915880203   || 0
schuwt          | </s>            | 0.307480663061  <-> 0.702026307583  || 0
<s>             | overigens       | 7.76994991302   <-> 8.0326423645    || 0
overigens       | is              | 2.18371152878   <-> 2.01033329964   || 1
is              | het             | 1.64259755611   <-> 1.67595088482   || 0
het             | in              | 4.10670900345   <-> 3.69156694412   || 1
in              | golf            | 13.437251091    <-> 12.3503627777   || 1
golf            | niet            | 4.63405561447   <-> 5.12239551544   || 0
niet            | belangrijk      | 6.16968584061   <-> 6.48010349274   || 0
belangrijk      | wat             | 6.09080314636   <-> 4.72866010666   || 1
wat             | iemand          | 7.035987854     <-> 6.47112751007   || 1
iemand          | draagt          | 8.45468330383   <-> 8.12775611877   || 1
draagt          | wel             | 6.93196773529   <-> 6.94389629364   || 0
wel             | hoeveel         | 8.90824699402   <-> 8.97710132599   || 0
hoeveel         | hij             | 4.00440883636   <-> 5.49198913574   || 0
hij             | betaald         | 8.58576011658   <-> 9.78499794006   || 0
betaald         | wordt           | 2.52392625809   <-> 2.60759401321   || 0
wordt           | om              | 4.10292816162   <-> 3.7443318367    || 1
om              | het             | 2.37394070625   <-> 2.57095098495   || 0
het             | te              | 4.5029592514    <-> 3.64449858665   || 1
te              | dragen          | 5.54661178589   <-> 5.56079912186   || 0
dragen          | </s>            | 0.605412483215  <-> 0.95085132122   || 0
<s>             | de              | 2.20987081528   <-> 2.21914076805   || 0
de              | man             | 4.55031013489   <-> 4.85017728806   || 0
man             | die             | 2.7098171711    <-> 2.90763378143   || 0
die             | het             | 3.11029744148   <-> 3.26369690895   || 0
het             | meest           | 5.5281791687    <-> 5.43807029724   || 1
meest           | in              | 4.18856239319   <-> 4.58690452576   || 0
in              | de              | 1.34488475323   <-> 1.29113221169   || 1
de              | kijker          | 5.45327377319   <-> 5.97307395935   || 0
kijker          | liep            | 7.03162765503   <-> 7.21950769424   || 0
liep            | was             | 4.26313495636   <-> 4.07882595062   || 1
was             | deze            | 6.53203773499   <-> 6.21440839767   || 1
deze            | keer            | 2.7604598999    <-> 3.88648867607   || 0
keer            | nochtans        | 7.63649940491   <-> 7.85866641998   || 0
nochtans        | niet            | 2.84615778923   <-> 2.95614528656   || 0
niet            | de              | 4.11924362183   <-> 4.11439752579   || 1
de              | winnaar         | 6.7209854126    <-> 6.98923301697   || 0
winnaar         | maar            | 4.27259922028   <-> 4.99582195282   || 0
maar            | de              | 2.1719520092    <-> 2.59773683548   || 0
de              | tweede          | 4.7715716362    <-> 4.99892139435   || 0
tweede          | </s>            | 5.15424871445   <-> 5.56911277771   || 0
<s>             | Phil            | 10.8680782318   <-> 10.5441637039   || 1
Phil            | <UNK>           | 1.6057485342    <-> 1.82027173042   || 0
<UNK>           | </s>            | 2.86888027191   <-> 3.06992411613   || 0
<s>             | en              | 4.46156406403   <-> 4.16686439514   || 1
en              | wel             | 6.28657674789   <-> 6.04372215271   || 1
wel             | omdat           | 5.3690071106    <-> 5.47729349136   || 0
omdat           | zijn            | 4.37037229538   <-> 4.59059619904   || 0
zijn            | vrouw           | 4.95478153229   <-> 4.58663892746   || 1
vrouw           | elk             | 8.05099582672   <-> 8.11016464233   || 0
elk             | moment          | 5.42859268188   <-> 4.68778324127   || 1
moment          | van             | 3.76218485832   <-> 3.24414014816   || 1
van             | hun             | 4.21572875977   <-> 5.23771572113   || 0
hun             | eerste          | 5.49465274811   <-> 4.79001808167   || 1
eerste          | kind            | 4.82853889465   <-> 6.05706453323   || 0
kind            | kon             | 4.60823774338   <-> 4.99567127228   || 0
kon             | bevallen        | 6.99851703644   <-> 8.50488853455   || 0
bevallen        | </s>            | 0.493671447039  <-> 0.413048446178  || 1
<s>             | tenminste       | 9.36067581177   <-> 9.45678806305   || 0
tenminste       | volgens         | 7.29393386841   <-> 6.39930057526   || 1
volgens         | Phil            | 9.77767944336   <-> 9.60273075104   || 1
Phil            | </s>            | 5.87997674942   <-> 5.31058216095   || 1
<s>             | volgens         | 4.7296257019    <-> 5.34824752808   || 0
volgens         | de              | 1.27205586433   <-> 1.31545579433   || 0
de              | dokters         | 7.35570192337   <-> 7.90412712097   || 0
dokters         | zou             | 4.66086435318   <-> 5.21005630493   || 0
zou             | dat             | 4.26770114899   <-> 4.13412952423   || 1
dat             | nog             | 4.04363632202   <-> 3.87410402298   || 1
nog             | veertien        | 9.02788734436   <-> 8.7086391449    || 1
veertien        | dagen           | 4.16738891602   <-> 3.46756410599   || 1
dagen           | duren           | 2.44498205185   <-> 3.6173324585    || 0
duren           | </s>            | 0.552439033985  <-> 0.65734398365   || 0
<s>             | maar            | 3.59449791908   <-> 3.68830871582   || 0
maar            | Phil            | 11.9283332825   <-> 11.7147817612   || 1
Phil            | wenste          | 12.2968988419   <-> 12.2844390869   || 1
wenste          | geen            | 4.37360620499   <-> 4.76759672165   || 0
geen            | risico          | 7.18470001221   <-> 7.38973426819   || 0
risico          | te              | 1.94482922554   <-> 2.23593091965   || 0
te              | nemen           | 3.33052420616   <-> 4.00517749786   || 0
nemen           | had             | 8.63464069366   <-> 8.57737255096   || 1
had             | een             | 2.85778284073   <-> 2.90218448639   || 0
een             | speciale        | 6.90749168396   <-> 6.22777938843   || 1
speciale        | <UNK>           | 2.42218899727   <-> 2.0251288414    || 1
<UNK>           | aan             | 4.56625461578   <-> 4.45026493073   || 1
aan             | zijn            | 3.66350007057   <-> 3.55965638161   || 1
zijn            | broekriem       | 11.2463302612   <-> 11.2772512436   || 0
broekriem       | gebonden        | 6.88366508484   <-> 7.68404006958   || 0
gebonden        | en              | 3.09859657288   <-> 2.82908511162   || 1
en              | een             | 3.51314854622   <-> 3.24835395813   || 1
een             | <UNK>           | 2.03478002548   <-> 1.95245790482   || 1
<UNK>           | <UNK>           | 2.73597574234   <-> 2.73927330971   || 0
<UNK>           | gezet           | 9.68661594391   <-> 10.1922998428   || 0
gezet           | om              | 3.72847270966   <-> 4.04215335846   || 0
om              | zodra           | 10.8538064957   <-> 10.9476766586   || 0
zodra           | de              | 1.56210541725   <-> 1.39661431313   || 1
de              | <UNK>           | 2.08540654182   <-> 2.03512835503   || 1
<UNK>           | begonnen        | 8.43759059906   <-> 8.63578224182   || 0
begonnen        | het             | 5.98636198044   <-> 5.15370988846   || 1
het             | golf            | 11.7344741821   <-> 12.002869606    || 0
golf            | te              | 2.08490467072   <-> 2.93812584877   || 0
te              | laten           | 3.77077627182   <-> 4.13207054138   || 0
laten           | voor            | 7.74227905273   <-> 6.31905460358   || 1
voor            | wat             | 5.66960668564   <-> 5.22463035583   || 1
wat             | het             | 3.35296583176   <-> 3.17119836807   || 1
het             | was             | 4.7384967804    <-> 5.62283706665   || 0
was             | en              | 4.27683162689   <-> 3.81675601006   || 1
en              | naar            | 6.76182556152   <-> 6.06958675385   || 1
naar            | huis            | 5.07113361359   <-> 5.86056423187   || 0
huis            | in              | 4.09548902512   <-> 3.27317047119   || 1
in              | Arizona         | 10.0623464584   <-> 9.91059207916   || 1
Arizona         | te              | 4.37778377533   <-> 4.14504671097   || 1
te              | vliegen         | 6.50410079956   <-> 6.3385925293    || 1
vliegen         | </s>            | 1.23517763615   <-> 0.631494820118  || 1
<s>             | vijf            | 7.79098796844   <-> 7.40398788452   || 1
vijf            | uur             | 3.42314219475   <-> 4.13736915588   || 0
uur             | van             | 4.27972459793   <-> 4.67270851135   || 0
van             | </s>            | 5.6184220314    <-> 7.4993596077    || 0
<s>             | wat             | 5.26143455505   <-> 5.68715763092   || 0
wat             | eerst           | 7.35687923431   <-> 8.71484184265   || 0
eerst           | een             | 3.30920290947   <-> 3.04707813263   || 1
een             | van             | 4.4478058815    <-> 4.53543615341   || 0
van             | de              | 0.804448544979  <-> 0.809888482094  || 0
de              | vele            | 5.49083185196   <-> 5.11283683777   || 1
vele            | onbeduidende    | 12.629070282    <-> 12.4674530029   || 1
onbeduidende    | faits           | 12.9081020355   <-> 12.799372673    || 1
faits           | divers          | 6.37097215652   <-> 6.54110193253   || 0
divers          | was             | 2.95851492882   <-> 3.49777007103   || 0
was             | zoals           | 6.082447052     <-> 6.04483985901   || 1
zoals           | er              | 4.33103656769   <-> 4.12473249435   || 1
er              | in              | 3.06180500984   <-> 2.93253421783   || 1
in              | elk             | 5.43955516815   <-> 5.43271970749   || 1
elk             | groot           | 9.52568340302   <-> 9.53751277924   || 0
groot           | toernooi        | 9.55151367188   <-> 9.98819923401   || 0
toernooi        | tientallen      | 9.00302219391   <-> 9.78755378723   || 0
tientallen      | te              | 6.47759914398   <-> 6.85899543762   || 0
te              | rapen           | 6.25898694992   <-> 5.80693626404   || 1
rapen           | vallen          | 6.2447347641    <-> 6.46770429611   || 0
vallen          | werd            | 5.67744255066   <-> 4.67157173157   || 1
werd            | plots           | 8.2387638092    <-> 7.97416687012   || 1
plots           | het             | 4.44303798676   <-> 3.67926168442   || 1
het             | onderwerp       | 7.32525587082   <-> 6.58258914948   || 1
onderwerp       | van             | 1.51684904099   <-> 1.7229501009    || 0
van             | gesprek         | 10.8471546173   <-> 11.2186498642   || 0
gesprek         | toen            | 6.41969490051   <-> 6.57345533371   || 0
toen            | <UNK>           | 3.06733942032   <-> 3.05020976067   || 1
<UNK>           | de              | 2.84587073326   <-> 3.21022796631   || 0
de              | voorlaatste     | 9.87468242645   <-> 9.43270206451   || 1
voorlaatste     | dag             | 3.24907016754   <-> 4.10588932037   || 0
dag             | afsloot         | 9.87723636627   <-> 9.63696956635   || 1
afsloot         | met             | 2.97711873055   <-> 2.49363160133   || 1
met             | slechts         | 8.89260101318   <-> 8.02784633636   || 1
slechts         | één           | 2.61827278137   <-> 2.80676031113   || 0
één           | <UNK>           | 2.72446537018   <-> 2.60295629501   || 1
<UNK>           | achterstand     | 9.40081596375   <-> 9.86375045776   || 0
achterstand     | op              | 2.85089159012   <-> 2.58199453354   || 1
op              | leider          | 10.4426527023   <-> 10.6113328934   || 0
leider          | Payne           | 12.6550979614   <-> 12.9209938049   || 0
Payne           | Stewart         | 12.3827953339   <-> 12.5823068619   || 0
Stewart         | </s>            | 0.5434871912    <-> 0.859132885933  || 0
<s>             | een             | 3.64189767838   <-> 3.66923809052   || 0
een             | steeds          | 9.97200965881   <-> 9.11075210571   || 1
steeds          | <UNK>           | 2.39933276176   <-> 2.1921081543    || 1
<UNK>           | wordende        | 8.50357437134   <-> 8.79985809326   || 0
wordende        | Phil            | 13.4085102081   <-> 13.753736496    || 0
Phil            | telefoneerde    | 13.6953020096   <-> 12.8289051056   || 1
telefoneerde    | voor            | 4.35513973236   <-> 4.02339887619   || 1
voor            | de              | 1.17169833183   <-> 1.31602346897   || 0
de              | tachtigste      | 11.0944499969   <-> 12.1217060089   || 0
tachtigste      | keer            | 2.60237050056   <-> 2.99695634842   || 0
keer            | in              | 2.4141740799    <-> 2.40772104263   || 1
in              | drie            | 6.41165781021   <-> 6.17219257355   || 1
drie            | dagen           | 3.16039967537   <-> 3.49193000793   || 0
dagen           | naar            | 4.67088317871   <-> 4.93785810471   || 0
naar            | huis            | 4.65680885315   <-> 6.13924694061   || 0
huis            | en              | 2.6679558754    <-> 2.51765084267   || 1
en              | <UNK>           | 2.48428893089   <-> 2.77793860435   || 0
<UNK>           | zijn            | 4.58588457108   <-> 4.48806810379   || 1
zijn            | vrouw           | 5.3096704483    <-> 5.58125209808   || 0
vrouw           | hem             | 7.34283542633   <-> 6.4733133316    || 1
hem             | als             | 4.91187572479   <-> 4.23158884048   || 1
als             | het             | 3.43902492523   <-> 3.191801548     || 1
het             | zover           | 7.60624504089   <-> 8.80156707764   || 0
zover           | was             | 3.68762612343   <-> 4.66152381897   || 0
was             | in              | 3.95010304451   <-> 3.27037143707   || 1
in              | elk             | 6.50784111023   <-> 6.03097391129   || 1
elk             | geval           | 0.746653795242  <-> 0.307509511709  || 1
geval           | te              | 3.69552612305   <-> 4.02936840057   || 0
te              | bellen          | 6.83894681931   <-> 8.91313362122   || 0
bellen          | om              | 4.00802469254   <-> 4.11542606354   || 0
om              | het             | 2.56563997269   <-> 2.71077203751   || 0
het             | even            | 5.64556217194   <-> 5.90877723694   || 0
even            | wanneer         | 9.03376865387   <-> 9.33491516113   || 0
wanneer         | en              | 6.39216947556   <-> 6.39614057541   || 0
en              | om              | 5.46623945236   <-> 5.22652196884   || 1
om              | het             | 2.74489498138   <-> 2.72463846207   || 1
het             | even            | 5.2577123642    <-> 6.0646147728    || 0
even            | waar            | 8.20610141754   <-> 7.46967363358   || 1
waar            | hij             | 3.13038301468   <-> 2.53781294823   || 1
hij             | zich            | 4.71905899048   <-> 3.81000828743   || 1
zich            | op              | 2.88688254356   <-> 2.83126020432   || 1
op              | dat             | 5.30259656906   <-> 5.18483448029   || 1
dat             | moment          | 0.927777290344  <-> 1.94962787628   || 0
moment          | bevond          | 7.9207611084    <-> 9.04779911041   || 0
bevond          | zelfs           | 8.24363994598   <-> 9.10004234314   || 0
zelfs           | al              | 4.7462310791    <-> 4.34145259857   || 1
al              | was             | 5.00739383698   <-> 4.64119291306   || 1
was             | dat             | 2.9591729641    <-> 3.63156270981   || 0
dat             | de              | 2.38677597046   <-> 2.06093883514   || 1
de              | laatste         | 4.34081315994   <-> 4.56823587418   || 0
laatste         | hole            | 12.4412298203   <-> 11.5648088455   || 1
hole            | </s>            | 2.40592455864   <-> 2.00611972809   || 1
<s>             | dat             | 3.8523144722    <-> 3.8947365284    || 0
dat             | iemand          | 8.068775177     <-> 8.56917285919   || 0
iemand          | die             | 3.0529589653    <-> 3.42839884758   || 0
die             | op              | 3.79800868034   <-> 4.01147270203   || 0
op              | het             | 2.06497788429   <-> 2.11699342728   || 0
het             | punt            | 6.8400554657    <-> 6.5348367691    || 1
punt            | staat           | 5.28262138367   <-> 6.00617599487   || 0
staat           | de              | 4.5429520607    <-> 4.07913160324   || 1
de              | US              | 9.763671875     <-> 8.49175262451   || 1
US              | Open            | 1.24847686291   <-> 0.406739294529  || 1
Open            | te              | 4.92698860168   <-> 7.05909824371   || 0
te              | winnen          | 4.19584369659   <-> 4.33719348907   || 0
winnen          | op              | 4.08150959015   <-> 4.00778388977   || 1
op              | de              | 1.20952022076   <-> 1.24204993248   || 0
de              | zeventiende     | 7.53516435623   <-> 6.99201393127   || 1
zeventiende     | hole            | 11.2048692703   <-> 9.86105155945   || 1
hole            | plots           | 10.3639879227   <-> 9.53234386444   || 1
plots           | zou             | 5.73468494415   <-> 5.42243671417   || 1
zou             | weglopen        | 10.5612020493   <-> 11.8847112656   || 0
weglopen        | omdat           | 5.78607845306   <-> 6.25906848907   || 0
omdat           | zijn            | 4.06065988541   <-> 4.34152984619   || 0
zijn            | vrouw           | 4.43030405045   <-> 4.43043708801   || 0
vrouw           | bevalt          | 11.1719074249   <-> 11.0642375946   || 1
bevalt          | verdeelde       | 14.3989582062   <-> 14.3204469681   || 1
verdeelde       | de              | 2.61775517464   <-> 2.66479563713   || 0
de              | aanwezigen      | 8.76540851593   <-> 9.29053974152   || 0
aanwezigen      | in              | 2.71723365784   <-> 2.43243312836   || 1
in              | <UNK>           | 3.5520927906    <-> 3.38598132133   || 1
<UNK>           | in              | 3.13880777359   <-> 3.24652457237   || 0
in              | twee            | 4.77698135376   <-> 4.6692609787    || 1
twee            | duidelijk       | 12.2052106857   <-> 11.2434568405   || 1
duidelijk       | gescheiden      | 9.45793437958   <-> 9.21810722351   || 1
gescheiden      | kampen          | 10.2882890701   <-> 11.6658220291   || 0
kampen          | </s>            | 0.648582875729  <-> 1.12874639034   || 0
<s>             | aan             | 6.00588512421   <-> 5.85123300552   || 1
aan             | de              | 0.952706992626  <-> 0.941783905029  || 1
de              | ene             | 5.011759758     <-> 5.88984823227   || 0
ene             | kant            | 1.17462873459   <-> 1.23823344707   || 0
kant            | Phil            | 12.7622690201   <-> 12.8381938934   || 0
Phil            | die             | 5.11463737488   <-> 5.857172966     || 0
die             | stelde          | 11.0043363571   <-> 9.71546268463   || 1
stelde          | dat             | 1.96815526485   <-> 3.43506383896   || 0
dat             | een             | 3.38989114761   <-> 2.79427075386   || 1
een             | mens            | 6.45098686218   <-> 6.30567264557   || 1
mens            | meerdere        | 9.34781646729   <-> 10.7280311584   || 0
meerdere        | keren           | 3.69698834419   <-> 4.70827865601   || 0
keren           | de              | 3.84451317787   <-> 4.26285600662   || 0
de              | US              | 10.4628314972   <-> 10.1409053802   || 1
US              | Open            | 2.68622422218   <-> 0.788454771042  || 1
Open            | kan             | 5.39227199554   <-> 6.22235965729   || 0
kan             | winnen          | 4.62512588501   <-> 5.17641353607   || 0
winnen          | maar            | 4.22468185425   <-> 3.94131040573   || 1
maar            | slechts         | 6.86099815369   <-> 7.06953811646   || 0
slechts         | één           | 3.42265963554   <-> 3.56238818169   || 0
één           | keer            | 1.89570915699   <-> 2.72191762924   || 0
keer            | voor            | 4.18590736389   <-> 4.00110244751   || 1
voor            | het             | 2.33908939362   <-> 2.33857178688   || 1
het             | eerst           | 1.93501853943   <-> 2.59124493599   || 0
eerst           | vader           | 11.8621997833   <-> 10.3117609024   || 1
vader           | wordt           | 4.36367034912   <-> 5.37944316864   || 0
wordt           | </s>            | 3.35234045982   <-> 2.88694238663   || 1
<s>             | aan             | 6.21671390533   <-> 5.87863636017   || 1
aan             | de              | 1.00444769859   <-> 1.01979470253   || 0
de              | andere          | 4.65866184235   <-> 4.59546661377   || 1
andere          | kant            | 0.936659097672  <-> 1.0758908987    || 0
kant            | alle            | 10.0772829056   <-> 9.11494922638   || 1
alle            | anderen         | 6.00501918793   <-> 6.11861467361   || 0
anderen         | die             | 3.22377276421   <-> 3.11709547043   || 1
die             | vonden          | 9.72299003601   <-> 9.21614074707   || 1
vonden          | dat             | 1.98356568813   <-> 2.46072530746   || 0
dat             | Phil            | 11.8754415512   <-> 11.8231134415   || 1
Phil            | niet            | 6.12641143799   <-> 6.87893915176   || 0
niet            | goed            | 5.12232398987   <-> 5.58564853668   || 0
goed            | bij             | 5.1332244873    <-> 4.64036846161   || 1
bij             | zijn            | 2.91997504234   <-> 2.86219286919   || 1
zijn            | hoofd           | 4.54252243042   <-> 4.50213193893   || 1
hoofd           | was             | 3.36564421654   <-> 3.60461425781   || 0
was             | </s>            | 1.75174999237   <-> 2.10678434372   || 0
<s>             | elke            | 7.43082618713   <-> 7.13075733185   || 1
elke            | <UNK>           | 2.65034508705   <-> 2.57681488991   || 1
<UNK>           | kan             | 4.88857698441   <-> 4.95646095276   || 0
kan             | twee            | 7.21312236786   <-> 6.52410507202   || 1
twee            | keer            | 2.57032346725   <-> 2.75299549103   || 0
keer            | vader           | 11.0887794495   <-> 10.9526863098   || 1
vader           | worden          | 4.83688592911   <-> 4.49913978577   || 1
worden          | maar            | 3.9904487133    <-> 3.93690729141   || 1
maar            | twee            | 6.11582231522   <-> 6.53933143616   || 0
twee            | keer            | 2.49598646164   <-> 2.83850049973   || 0
keer            | de              | 4.2432975769    <-> 4.00930595398   || 1
de              | US              | 8.27394676208   <-> 8.75811290741   || 0
US              | Open            | 1.6384909153    <-> 0.380799740553  || 1
Open            | winnen          | 7.53739929199   <-> 9.15144634247   || 0
winnen          | is              | 4.32517290115   <-> 4.53416633606   || 0
is              | er              | 3.51626682281   <-> 3.31647872925   || 1
er              | minder          | 5.92793750763   <-> 6.16841936111   || 0
minder          | gegeven         | 9.94212150574   <-> 8.79100227356   || 1
gegeven         | </s>            | 0.698618769646  <-> 0.759191215038  || 0
<s>             | alleen          | 5.84799671173   <-> 5.88074398041   || 0
alleen          | Payne           | 14.6355304718   <-> 14.0079050064   || 1
Payne           | Stewart         | 12.160779953    <-> 10.7506074905   || 1
Stewart         | gaf             | 7.07065391541   <-> 6.20864200592   || 1
gaf             | niet            | 4.03736257553   <-> 4.42788124084   || 0
niet            | geheel          | 10.4288625717   <-> 9.66454601288   || 1
geheel          | belangeloos     | 12.9321670532   <-> 13.1535167694   || 0
belangeloos     | Phil            | 13.9644832611   <-> 12.439743042    || 1
Phil            | gelijk          | 9.82071971893   <-> 10.7262639999   || 0
gelijk          | </s>            | 1.09912705421   <-> 0.927345454693  || 1
<s>             | en              | 4.00308609009   <-> 4.03381443024   || 0
en              | gooide          | 10.7283163071   <-> 10.5101528168   || 1
gooide          | net             | 7.3807592392    <-> 7.31235074997   || 1
net             | voor            | 3.92658662796   <-> 3.09339547157   || 1
voor            | de              | 1.12476491928   <-> 1.46749961376   || 0
de              | slotronde       | 10.3036422729   <-> 10.3801279068   || 0
slotronde       | die             | 4.47937488556   <-> 4.3895983696    || 1
die             | uitgerekend     | 10.3116569519   <-> 9.89453697205   || 1
uitgerekend     | op              | 3.23286008835   <-> 3.26100087166   || 0
op              | <UNK>           | 3.81413555145   <-> 3.36970090866   || 1
<UNK>           | gespeeld        | 8.61988449097   <-> 8.42585659027   || 1
gespeeld        | werd            | 2.41303396225   <-> 2.4549677372    || 0
werd            | nog             | 7.47987794876   <-> 6.70156002045   || 1
nog             | wat             | 4.85367870331   <-> 4.90531539917   || 0
wat             | olie            | 11.343539238    <-> 10.9572019577   || 1
olie            | op              | 3.33226966858   <-> 3.11628222466   || 1
op              | het             | 2.16385388374   <-> 2.18346834183   || 0
het             | vuur            | 5.19358491898   <-> 6.28230762482   || 0
vuur            | door            | 6.64355754852   <-> 6.34984731674   || 1
door            | te              | 4.50901031494   <-> 4.45269298553   || 1
te              | verklaren       | 6.46684455872   <-> 7.57620191574   || 0
verklaren       | </s>            | 0.720939040184  <-> 0.596732199192  || 1
<s>             | ik              | 4.60768604279   <-> 4.44093799591   || 1
ik              | persoonlijk     | 11.6457920074   <-> 11.4281997681   || 1
persoonlijk     | heb             | 7.16557312012   <-> 5.4731836319    || 1
heb             | twee            | 7.58179855347   <-> 7.78330993652   || 0
twee            | kinderen        | 6.06201934814   <-> 4.75610685349   || 1
kinderen        | </s>            | 3.01372265816   <-> 2.42245388031   || 1
<s>             | voor            | 4.86504077911   <-> 4.91292524338   || 0
voor            | geen            | 6.59869432449   <-> 6.54130840302   || 1
geen            | geld            | 4.93938350677   <-> 5.68568325043   || 0
geld            | ter             | 7.75615882874   <-> 7.81808376312   || 0
ter             | wereld          | 3.31146097183   <-> 1.1002188921    || 1
wereld          | had             | 3.95353579521   <-> 4.59230613708   || 0
had             | ik              | 1.9819009304    <-> 1.10941886902   || 1
ik              | hun             | 5.43933963776   <-> 5.33261013031   || 1
hun             | geboorte        | 8.31021785736   <-> 8.03243255615   || 1
geboorte        | willen          | 7.19176006317   <-> 7.6302947998    || 0
willen          | missen          | 5.98263835907   <-> 6.40863180161   || 0
missen          | </s>            | 0.425527840853  <-> 0.470400452614  || 0
