input           | target          | cbow_exp_soft0  <-> cbow_exp_lstm0  || best model: 0:first, 1:second
in              | Soho            | 10.9568281174   <-> 11.0407238007   || 0
Soho            | </s>            | 0.433003842831  <-> 0.606690585613  || 0
<s>             | en              | 3.9708981514    <-> 3.97410964966   || 0
en              | dan             | 2.80296111107   <-> 3.58712434769   || 0
dan             | zijn            | 3.21418094635   <-> 3.01714801788   || 1
zijn            | we              | 2.42689275742   <-> 1.73496341705   || 1
we              | er              | 3.51653814316   <-> 3.48765563965   || 1
er              | </s>            | 5.97049665451   <-> 6.36577701569   || 0
<s>             | John            | 8.94587516785   <-> 8.73981952667   || 1
John            | <UNK>           | 1.19290232658   <-> 1.4922041893    || 0
<UNK>           | op              | 4.59261322021   <-> 4.37846183777   || 1
op              | de              | 1.57392597198   <-> 1.47591876984   || 1
de              | US              | 7.68789243698   <-> 7.2850818634    || 1
US              | Open            | 0.77480751276   <-> 0.106125555933  || 1
Open            | van             | 3.12991189957   <-> 3.0287938118    || 1
van             | dit             | 5.17288923264   <-> 5.51458215714   || 0
dit             | jaar            | 1.01225197315   <-> 0.823738753796  || 1
jaar            | </s>            | 1.54117596149   <-> 2.41221284866   || 0
<s>             | de              | 1.99994111061   <-> 1.98351466656   || 1
de              | achtste         | 8.51274871826   <-> 7.47323799133   || 1
achtste         | hole            | 10.3934078217   <-> 9.51708221436   || 1
hole            | op              | 4.1902089119    <-> 3.65443515778   || 1
op              | de              | 1.00773310661   <-> 1.14434206486   || 0
de              | baan            | 7.16747283936   <-> 7.26933383942   || 0
baan            | van             | 1.82134783268   <-> 2.32092499733   || 0
van             | <UNK>           | 2.55927181244   <-> 2.56357717514   || 0
<UNK>           | No              | 10.8848876953   <-> 10.7899007797   || 1
No              | </s>            | 3.31449174881   <-> 3.34123134613   || 0
<s>             | een             | 3.65683984756   <-> 3.48727488518   || 1
een             | par             | 13.2563934326   <-> 12.9111423492   || 1
par             | vier            | 8.03652954102   <-> 8.35507202148   || 0
vier            | komma           | 3.35580468178   <-> 3.096139431     || 1
komma           | en              | 4.79465103149   <-> 5.1784734726    || 0
en              | niet            | 6.22747135162   <-> 7.04183769226   || 0
niet            | eens            | 4.63220882416   <-> 4.91550350189   || 0
eens            | een             | 3.16607904434   <-> 3.04765748978   || 1
een             | moeilijke       | 7.16274833679   <-> 7.36510229111   || 0
moeilijke       | </s>            | 7.07598733902   <-> 6.76847362518   || 1
<s>             | elf             | 9.39950656891   <-> 8.73915290833   || 1
elf             | slagen          | 10.8636960983   <-> 11.1989746094   || 0
slagen          | had             | 6.85278320312   <-> 7.27121162415   || 0
had             | hij             | 4.52429056168   <-> 3.78300023079   || 1
hij             | nodig           | 6.17683696747   <-> 7.38166856766   || 0
nodig           | </s>            | 1.20153510571   <-> 1.02704060078   || 1
