input           | target          | original0       <-> cbow_exp_soft0  || best model: 0:first, 1:second
had             | hij             | 1.57578980923   <-> 0.914773225784  || 1
hij             | nog             | 3.81372594833   <-> 3.29341340065   || 1
nog             | eens            | 3.52900886536   <-> 3.21077156067   || 1
eens            | drie            | 5.65686798096   <-> 5.39946746826   || 1
drie            | <UNK>           | 3.16093349457   <-> 3.47802710533   || 0
<UNK>           | nodig           | 5.43381404877   <-> 5.22058391571   || 1
nodig           | </s>            | 0.680479764938  <-> 0.442679673433  || 1
<s>             | lezers          | 10.9623699188   <-> 11.9232931137   || 0
lezers          | van             | 2.94308328629   <-> 2.9200720787    || 1
van             | Knack           | 9.91069316864   <-> 9.8943901062    || 1
Knack           | kennen          | 7.13738965988   <-> 6.70504522324   || 1
kennen          | John            | 9.39416217804   <-> 8.0974187851    || 1
John            | <UNK>           | 1.3537299633    <-> 1.32665932178   || 1
<UNK>           | wij             | 9.68338871002   <-> 10.7818470001   || 0
wij             | hebben          | 5.21406126022   <-> 5.17237901688   || 1
hebben          | u               | 7.53283834457   <-> 7.15306186676   || 1
u               | al              | 4.05963516235   <-> 3.48433995247   || 1
al              | meermaals       | 7.31463813782   <-> 6.19983005524   || 1
meermaals       | over            | 5.21574926376   <-> 4.69108486176   || 1
over            | hem             | 4.90941572189   <-> 5.0232167244    || 0
hem             | verteld         | 6.26409101486   <-> 5.04854154587   || 1
verteld         | </s>            | 0.530095815659  <-> 0.396373212337  || 1
<s>             | een             | 3.60508441925   <-> 3.80447864532   || 0
een             | <UNK>           | 1.80322408676   <-> 2.29247808456   || 0
<UNK>           | buiten          | 8.47009086609   <-> 8.65308570862   || 0
buiten          | categorie       | 10.9926815033   <-> 11.8470964432   || 0
categorie       | die             | 4.00770378113   <-> 3.78879547119   || 1
die             | in              | 3.08470726013   <-> 3.3577299118    || 0
in              | negentien       | 3.1465344429    <-> 3.02994680405   || 1
negentien       | honderd         | 0.00471325870603 <-> 0.00303546362557 || 1
honderd         | één-en        | 2.65647983551   <-> 2.91328930855   || 0
één-en        | negentig        | 0.808912873268  <-> 0.634395182133  || 1
negentig        | door            | 4.66422748566   <-> 4.95917034149   || 0
door            | de              | 1.00137519836   <-> 1.27548992634   || 0
de              | vele            | 6.95362472534   <-> 6.94656896591   || 1
vele            | forfaits        | 12.2425270081   <-> 11.0799674988   || 1
forfaits        | per             | 7.75009584427   <-> 6.95344686508   || 1
per             | ongeluk         | 4.01629829407   <-> 2.64260935783   || 1
ongeluk         | in              | 3.00948429108   <-> 2.77039265633   || 1
in              | de              | 1.21145796776   <-> 1.28745853901   || 0
de              | <UNK>           | 2.12212014198   <-> 2.46996998787   || 0
<UNK>           | van             | 2.25831747055   <-> 2.26697993279   || 0
van             | de              | 1.23939323425   <-> 1.2275493145    || 1
de              | US              | 8.811170578     <-> 8.149933815     || 1
US              | <UNK>           | 1.28341126442   <-> 1.1678879261    || 1
<UNK>           | op              | 4.166410923     <-> 4.16357707977   || 1
op              | <UNK>           | 3.23656821251   <-> 3.27092504501   || 0
<UNK>           | <UNK>           | 2.5793492794    <-> 3.24679207802   || 0
<UNK>           | geraakte        | 9.06100082397   <-> 8.52487277985   || 1
geraakte        | </s>            | 1.59705710411   <-> 1.63728797436   || 0
<s>             | <UNK>           | 2.98750209808   <-> 3.07676267624   || 0
<UNK>           | pas             | 8.30111885071   <-> 8.47177791595   || 0
pas             | in              | 2.33120632172   <-> 2.51286482811   || 0
in              | extremis        | 7.9770565033    <-> 7.93750047684   || 1
extremis        | opgeroepen      | 9.99767971039   <-> 11.231092453    || 0
opgeroepen      | kwam            | 6.5651845932    <-> 6.21299171448   || 1
kwam            | net             | 6.52613830566   <-> 7.12570858002   || 0
net             | op              | 2.52819466591   <-> 3.19193744659   || 0
op              | tijd            | 7.07155561447   <-> 6.36824512482   || 1
tijd            | in              | 2.89063835144   <-> 2.82069635391   || 1
in              | Indianapolis    | 10.9749126434   <-> 10.182806015    || 1
Indianapolis    | aan             | 4.63364362717   <-> 4.93171262741   || 0
aan             | om              | 5.00861930847   <-> 4.68415594101   || 1
om              | van             | 4.81144142151   <-> 4.56819248199   || 1
