input           | target          | original0       <-> cbow_exp_soft0  || best model: 0:first, 1:second
in              | elk             | 6.74384069443   <-> 6.50784111023   || 1
elk             | geval           | 0.492542564869  <-> 0.746653795242  || 0
geval           | te              | 3.1426486969    <-> 3.69552612305   || 0
te              | bellen          | 6.81196975708   <-> 6.83894681931   || 0
bellen          | om              | 4.42530536652   <-> 4.00802469254   || 1
om              | het             | 2.71483182907   <-> 2.56563997269   || 1
het             | even            | 5.95966148376   <-> 5.64556217194   || 1
even            | wanneer         | 8.8623046875    <-> 9.03376865387   || 0
wanneer         | en              | 5.99711990356   <-> 6.39216947556   || 0
en              | om              | 5.79746341705   <-> 5.46623945236   || 1
om              | het             | 2.68664598465   <-> 2.74489498138   || 0
het             | even            | 6.0265789032    <-> 5.2577123642    || 1
even            | waar            | 7.21836280823   <-> 8.20610141754   || 0
waar            | hij             | 2.45150494576   <-> 3.13038301468   || 0
hij             | zich            | 3.45594668388   <-> 4.71905899048   || 0
zich            | op              | 3.15183734894   <-> 2.88688254356   || 1
op              | dat             | 5.1858086586    <-> 5.30259656906   || 0
dat             | moment          | 2.1639995575    <-> 0.927777290344  || 1
moment          | bevond          | 8.9959487915    <-> 7.9207611084    || 1
bevond          | zelfs           | 7.77684259415   <-> 8.24363994598   || 0
zelfs           | al              | 4.62081575394   <-> 4.7462310791    || 0
al              | was             | 4.61098718643   <-> 5.00739383698   || 0
was             | dat             | 3.76466751099   <-> 2.9591729641    || 1
dat             | de              | 2.21045947075   <-> 2.38677597046   || 0
de              | laatste         | 5.26745605469   <-> 4.34081315994   || 1
laatste         | hole            | 12.4994411469   <-> 12.4412298203   || 1
hole            | </s>            | 2.47543668747   <-> 2.40592455864   || 1
<s>             | dat             | 3.60284852982   <-> 3.8523144722    || 0
dat             | iemand          | 7.98381280899   <-> 8.068775177     || 0
iemand          | die             | 3.62492251396   <-> 3.0529589653    || 1
die             | op              | 4.15056085587   <-> 3.79800868034   || 1
op              | het             | 2.35279631615   <-> 2.06497788429   || 1
het             | punt            | 7.803814888     <-> 6.8400554657    || 1
punt            | staat           | 4.91118335724   <-> 5.28262138367   || 0
staat           | de              | 3.84125113487   <-> 4.5429520607    || 0
de              | US              | 9.53217506409   <-> 9.763671875     || 0
US              | Open            | 1.60230255127   <-> 1.24847686291   || 1
Open            | te              | 4.84744787216   <-> 4.92698860168   || 0
te              | winnen          | 4.77201747894   <-> 4.19584369659   || 1
winnen          | op              | 4.62811231613   <-> 4.08150959015   || 1
op              | de              | 1.21718251705   <-> 1.20952022076   || 1
de              | zeventiende     | 6.95088672638   <-> 7.53516435623   || 0
zeventiende     | hole            | 12.3820228577   <-> 11.2048692703   || 1
hole            | plots           | 9.68585777283   <-> 10.3639879227   || 0
plots           | zou             | 5.4503827095    <-> 5.73468494415   || 0
zou             | weglopen        | 11.5534362793   <-> 10.5612020493   || 1
weglopen        | omdat           | 5.69265413284   <-> 5.78607845306   || 0
omdat           | zijn            | 4.28730106354   <-> 4.06065988541   || 1
zijn            | vrouw           | 4.38780212402   <-> 4.43030405045   || 0
vrouw           | bevalt          | 10.3083696365   <-> 11.1719074249   || 0
bevalt          | verdeelde       | 13.6726884842   <-> 14.3989582062   || 0
verdeelde       | de              | 2.14666056633   <-> 2.61775517464   || 0
de              | aanwezigen      | 9.33437824249   <-> 8.76540851593   || 1
aanwezigen      | in              | 2.88859987259   <-> 2.71723365784   || 1
in              | <UNK>           | 3.29110050201   <-> 3.5520927906    || 0
<UNK>           | in              | 3.19836902618   <-> 3.13880777359   || 1
in              | twee            | 4.67674684525   <-> 4.77698135376   || 0
twee            | duidelijk       | 13.2777814865   <-> 12.2052106857   || 1
duidelijk       | gescheiden      | 11.049902916    <-> 9.45793437958   || 1
gescheiden      | kampen          | 10.765209198    <-> 10.2882890701   || 1
kampen          | </s>            | 0.728233635426  <-> 0.648582875729  || 1
<s>             | aan             | 6.01242733002   <-> 6.00588512421   || 1
aan             | de              | 0.954797148705  <-> 0.952706992626  || 1
de              | ene             | 6.06243038177   <-> 5.011759758     || 1
ene             | kant            | 1.3009390831    <-> 1.17462873459   || 1
kant            | Phil            | 13.0165901184   <-> 12.7622690201   || 1
Phil            | die             | 5.19378089905   <-> 5.11463737488   || 1
die             | stelde          | 9.51842403412   <-> 11.0043363571   || 0
stelde          | dat             | 2.39701390266   <-> 1.96815526485   || 1
dat             | een             | 3.31374764442   <-> 3.38989114761   || 0
een             | mens            | 6.4874124527    <-> 6.45098686218   || 1
mens            | meerdere        | 10.7041625977   <-> 9.34781646729   || 1
meerdere        | keren           | 5.04628229141   <-> 3.69698834419   || 1
keren           | de              | 3.67147898674   <-> 3.84451317787   || 0
de              | US              | 9.39671325684   <-> 10.4628314972   || 0
US              | Open            | 2.12565779686   <-> 2.68622422218   || 0
Open            | kan             | 5.47592735291   <-> 5.39227199554   || 1
kan             | winnen          | 4.53306245804   <-> 4.62512588501   || 0
winnen          | maar            | 3.8437268734    <-> 4.22468185425   || 0
maar            | slechts         | 7.48210430145   <-> 6.86099815369   || 1
slechts         | één           | 3.52589392662   <-> 3.42265963554   || 1
één           | keer            | 2.68450069427   <-> 1.89570915699   || 1
keer            | voor            | 3.70695161819   <-> 4.18590736389   || 0
voor            | het             | 2.30906772614   <-> 2.33908939362   || 0
het             | eerst           | 3.21472859383   <-> 1.93501853943   || 1
eerst           | vader           | 11.1704492569   <-> 11.8621997833   || 0
vader           | wordt           | 5.81850385666   <-> 4.36367034912   || 1
wordt           | </s>            | 2.04918980598   <-> 3.35234045982   || 0
<s>             | aan             | 6.06126689911   <-> 6.21671390533   || 0
aan             | de              | 0.967080175877  <-> 1.00444769859   || 0
de              | andere          | 5.33539199829   <-> 4.65866184235   || 1
andere          | kant            | 1.05258691311   <-> 0.936659097672  || 1
kant            | alle            | 9.70621585846   <-> 10.0772829056   || 0
alle            | anderen         | 6.48797416687   <-> 6.00501918793   || 1
anderen         | die             | 3.12451839447   <-> 3.22377276421   || 0
die             | vonden          | 8.84224414825   <-> 9.72299003601   || 0
vonden          | dat             | 2.14074850082   <-> 1.98356568813   || 1
dat             | Phil            | 12.3816146851   <-> 11.8754415512   || 1
Phil            | niet            | 5.66497802734   <-> 6.12641143799   || 0
niet            | goed            | 4.83296489716   <-> 5.12232398987   || 0
goed            | bij             | 5.07991600037   <-> 5.1332244873    || 0
bij             | zijn            | 2.97131109238   <-> 2.91997504234   || 1
zijn            | hoofd           | 4.92525482178   <-> 4.54252243042   || 1
hoofd           | was             | 3.22054219246   <-> 3.36564421654   || 0
was             | </s>            | 1.46709322929   <-> 1.75174999237   || 0
<s>             | elke            | 7.3719329834    <-> 7.43082618713   || 0
elke            | <UNK>           | 2.49693894386   <-> 2.65034508705   || 0
<UNK>           | kan             | 4.41711235046   <-> 4.88857698441   || 0
kan             | twee            | 7.76827383041   <-> 7.21312236786   || 1
twee            | keer            | 3.18581414223   <-> 2.57032346725   || 1
keer            | vader           | 12.3617296219   <-> 11.0887794495   || 1
vader           | worden          | 3.28595972061   <-> 4.83688592911   || 0
worden          | maar            | 4.29920768738   <-> 3.9904487133    || 1
maar            | twee            | 5.89506530762   <-> 6.11582231522   || 0
twee            | keer            | 2.95972585678   <-> 2.49598646164   || 1
keer            | de              | 3.64374375343   <-> 4.2432975769    || 0
de              | US              | 8.77681541443   <-> 8.27394676208   || 1
US              | Open            | 1.80782163143   <-> 1.6384909153    || 1
Open            | winnen          | 9.4035243988    <-> 7.53739929199   || 1
winnen          | is              | 4.36618995667   <-> 4.32517290115   || 1
is              | er              | 3.62026357651   <-> 3.51626682281   || 1
er              | minder          | 6.50853919983   <-> 5.92793750763   || 1
minder          | gegeven         | 9.51002502441   <-> 9.94212150574   || 0
gegeven         | </s>            | 0.78783249855   <-> 0.698618769646  || 1
<s>             | alleen          | 6.03627109528   <-> 5.84799671173   || 1
alleen          | Payne           | 14.0653953552   <-> 14.6355304718   || 0
Payne           | Stewart         | 11.4082298279   <-> 12.160779953    || 0
Stewart         | gaf             | 6.62760162354   <-> 7.07065391541   || 0
gaf             | niet            | 4.92764568329   <-> 4.03736257553   || 1
niet            | geheel          | 9.34635639191   <-> 10.4288625717   || 0
geheel          | belangeloos     | 13.5957555771   <-> 12.9321670532   || 1
belangeloos     | Phil            | 13.0965232849   <-> 13.9644832611   || 0
Phil            | gelijk          | 10.4853363037   <-> 9.82071971893   || 1
gelijk          | </s>            | 0.838693797588  <-> 1.09912705421   || 0
<s>             | en              | 4.13496208191   <-> 4.00308609009   || 1
en              | gooide          | 9.44466781616   <-> 10.7283163071   || 0
gooide          | net             | 7.52894639969   <-> 7.3807592392    || 1
net             | voor            | 3.59552097321   <-> 3.92658662796   || 0
voor            | de              | 1.33906650543   <-> 1.12476491928   || 1
de              | slotronde       | 10.856593132    <-> 10.3036422729   || 1
slotronde       | die             | 3.96071863174   <-> 4.47937488556   || 0
die             | uitgerekend     | 10.1016998291   <-> 10.3116569519   || 0
uitgerekend     | op              | 3.36635351181   <-> 3.23286008835   || 1
op              | <UNK>           | 3.38573622704   <-> 3.81413555145   || 0
<UNK>           | gespeeld        | 8.85299873352   <-> 8.61988449097   || 1
gespeeld        | werd            | 2.39431285858   <-> 2.41303396225   || 0
werd            | nog             | 6.99293279648   <-> 7.47987794876   || 0
nog             | wat             | 5.23991584778   <-> 4.85367870331   || 1
wat             | olie            | 10.0004415512   <-> 11.343539238    || 0
olie            | op              | 3.04242038727   <-> 3.33226966858   || 0
op              | het             | 2.41134309769   <-> 2.16385388374   || 1
het             | vuur            | 6.05781459808   <-> 5.19358491898   || 1
vuur            | door            | 5.33358240128   <-> 6.64355754852   || 0
door            | te              | 4.06710243225   <-> 4.50901031494   || 0
te              | verklaren       | 7.46310520172   <-> 6.46684455872   || 1
verklaren       | </s>            | 0.507872223854  <-> 0.720939040184  || 0
<s>             | ik              | 3.6777806282    <-> 4.60768604279   || 0
ik              | persoonlijk     | 11.0628566742   <-> 11.6457920074   || 0
persoonlijk     | heb             | 5.22067499161   <-> 7.16557312012   || 0
heb             | twee            | 9.87135887146   <-> 7.58179855347   || 1
twee            | kinderen        | 4.72601413727   <-> 6.06201934814   || 0
kinderen        | </s>            | 2.9128973484    <-> 3.01372265816   || 0
<s>             | voor            | 4.61008024216   <-> 4.86504077911   || 0
voor            | geen            | 6.94038486481   <-> 6.59869432449   || 1
geen            | geld            | 6.60421609879   <-> 4.93938350677   || 1
geld            | ter             | 7.73691940308   <-> 7.75615882874   || 0
ter             | wereld          | 1.64414644241   <-> 3.31146097183   || 0
wereld          | had             | 5.27940273285   <-> 3.95353579521   || 1
had             | ik              | 1.56480193138   <-> 1.9819009304    || 0
ik              | hun             | 6.6163187027    <-> 5.43933963776   || 1
hun             | geboorte        | 7.95423603058   <-> 8.31021785736   || 0
geboorte        | willen          | 8.36326980591   <-> 7.19176006317   || 1
willen          | missen          | 6.02937698364   <-> 5.98263835907   || 1
missen          | </s>            | 0.459031254053  <-> 0.425527840853  || 1
<s>             | Engelse         | 10.8350753784   <-> 11.2458343506   || 0
Engelse         | reporters       | 9.80363845825   <-> 9.18172073364   || 1
reporters       | merkten         | 9.46494674683   <-> 8.81447410583   || 1
merkten         | niet            | 3.64935898781   <-> 3.52540445328   || 1
niet            | zonder          | 6.46096134186   <-> 6.61923360825   || 0
zonder          | trots           | 7.64925050735   <-> 7.87991046906   || 0
trots           | op              | 3.19662117958   <-> 2.94699597359   || 1
op              | dat             | 4.37148857117   <-> 3.53125905991   || 1
dat             | de              | 2.05461573601   <-> 2.23625850677   || 0
de              | oude            | 6.55497932434   <-> 6.49110031128   || 1
oude            | Shakespeare     | 11.9171295166   <-> 11.5078582764   || 1
Shakespeare     | het             | 3.99189925194   <-> 3.59138417244   || 1
het             | weer            | 6.40858459473   <-> 6.61240291595   || 0
weer            | eens            | 4.68597507477   <-> 4.88655757904   || 0
eens            | bij             | 5.01121091843   <-> 5.34338521957   || 0
bij             | het             | 2.37588214874   <-> 2.24946832657   || 1
het             | rechte          | 7.84724664688   <-> 6.61713504791   || 1
rechte          | eind            | 7.47991752625   <-> 7.28869533539   || 1
eind            | had             | 4.77333164215   <-> 4.37579727173   || 1
had             | gehad           | 5.31431770325   <-> 5.08349847794   || 1
gehad           | </s>            | 0.394380450249  <-> 0.145722106099  || 1
<s>             | to              | 11.3294458389   <-> 10.8609695435   || 1
to              | <UNK>           | 1.44142353535   <-> 1.93676817417   || 0
<UNK>           | or              | 8.89133071899   <-> 7.63930559158   || 1
or              | not             | 6.17292118073   <-> 5.17628097534   || 1
not             | to              | 4.0379858017    <-> 3.74491167068   || 1
to              | <UNK>           | 1.65418243408   <-> 2.10322904587   || 0
<UNK>           | that's          | 11.770740509    <-> 10.6977405548   || 1
that's          | the             | 3.07517528534   <-> 2.09254050255   || 1
the             | <UNK>           | 1.07804965973   <-> 1.16821920872   || 0
<UNK>           | </s>            | 1.8361569643    <-> 1.32465457916   || 1
<s>             | om              | 6.0697722435    <-> 6.29776287079   || 0
om              | een             | 2.28460645676   <-> 2.228079319     || 1
een             | lang            | 7.43303108215   <-> 8.30136394501   || 0
lang            | verhaal         | 5.82408905029   <-> 5.52031612396   || 1
verhaal         | kort            | 10.3230867386   <-> 11.3969764709   || 0
kort            | te              | 1.58019900322   <-> 1.07275986671   || 1
te              | maken           | 3.10155582428   <-> 2.9063577652    || 1
maken           | </s>            | 1.72651791573   <-> 2.42754268646   || 0
<s>             | <UNK>           | 2.94485449791   <-> 2.9120028019    || 1
<UNK>           | werd            | 4.84180164337   <-> 4.65408802032   || 1
werd            | geboren         | 5.46554279327   <-> 5.84639787674   || 0
geboren         | precies         | 11.1026391983   <-> 9.91667175293   || 1
precies         | één           | 6.32513999939   <-> 7.51221370697   || 0
één           | dag             | 5.42344236374   <-> 5.89447116852   || 0
dag             | nadat           | 5.79168224335   <-> 4.84506368637   || 1
nadat           | haar            | 5.27168273926   <-> 5.1775431633    || 1
haar            | vader           | 3.84456825256   <-> 2.58437299728   || 1
vader           | tweede          | 9.65188980103   <-> 10.0143232346   || 0
tweede          | was             | 4.51839256287   <-> 2.44585847855   || 1
was             | geworden        | 6.01367139816   <-> 4.46318149567   || 1
geworden        | in              | 3.3927989006    <-> 3.24589848518   || 1
in              | de              | 1.12737953663   <-> 1.28468739986   || 0
de              | US              | 9.17952728271   <-> 7.12851905823   || 1
US              | Open            | 1.21020889282   <-> 0.345781415701  || 1
Open            | </s>            | 1.18501877785   <-> 1.11950325966   || 1
<s>             | twee            | 5.71243667603   <-> 5.7945227623    || 0
twee            | weken           | 2.87791728973   <-> 3.22462558746   || 0
weken           | voor            | 5.49833440781   <-> 5.62100458145   || 0
voor            | de              | 1.07413554192   <-> 1.29718160629   || 0
de              | dokters         | 9.59841156006   <-> 10.103720665    || 0
dokters         | hadden          | 5.04138660431   <-> 4.28209877014   || 1
hadden          | voorspeld       | 11.2751245499   <-> 10.1496601105   || 1
voorspeld       | </s>            | 1.91601967812   <-> 2.22275829315   || 0
<s>             | u               | 7.16249895096   <-> 8.08764839172   || 0
u               | begrijpt        | 6.96430969238   <-> 8.13349723816   || 0
begrijpt        | heren           | 14.2916154861   <-> 13.5138578415   || 1
heren           | sprak           | 11.0587863922   <-> 10.635222435    || 1
sprak           | de              | 2.48577713966   <-> 2.64439368248   || 0
de              | trotse          | 9.13238048553   <-> 9.11691856384   || 1
trotse          | vader           | 6.25248193741   <-> 4.91148471832   || 1
vader           | tot             | 5.89227437973   <-> 5.81770896912   || 1
tot             | de              | 2.10622644424   <-> 1.96371471882   || 1
de              | verslaggevers   | 11.2891731262   <-> 11.8659191132   || 0
verslaggevers   | die             | 2.73981666565   <-> 3.03505396843   || 0
die             | hem             | 3.76485919952   <-> 4.43625831604   || 0
hem             | tot             | 5.60219955444   <-> 5.50092792511   || 1
tot             | in              | 4.4972820282    <-> 4.57176971436   || 0
in              | het             | 2.05546069145   <-> 2.04166316986   || 1
het             | moederhuis      | 11.0226535797   <-> 10.5323734283   || 1
moederhuis      | waren           | 5.73955631256   <-> 5.77012252808   || 0
waren           | gevolgd         | 7.90723133087   <-> 7.73785877228   || 1
gevolgd         | dat             | 7.22231578827   <-> 7.34497880936   || 0
dat             | ik              | 2.95058298111   <-> 4.15492343903   || 0
ik              | in              | 3.41448163986   <-> 2.8978729248    || 1
in              | deze            | 4.82460737228   <-> 4.75826644897   || 1
deze            | omstandigheden  | 6.13669776917   <-> 4.66297626495   || 1
omstandigheden  | niet            | 3.32607460022   <-> 3.23579120636   || 1
niet            | veel            | 4.31454849243   <-> 4.81257820129   || 0
veel            | zin             | 5.62351417542   <-> 7.1832780838    || 0
zin             | had             | 3.00212931633   <-> 1.6751793623    || 1
had             | om              | 2.94097900391   <-> 2.41321873665   || 1
om              | een             | 2.37722849846   <-> 2.55303144455   || 0
een             | <UNK>           | 1.94490993023   <-> 2.27392148972   || 0
<UNK>           | af              | 4.83900117874   <-> 5.1422290802    || 0
af              | te              | 0.191646739841  <-> 0.0762972608209 || 1
te              | dwingen         | 5.40725517273   <-> 2.89678835869   || 1
dwingen         | </s>            | 0.658026814461  <-> 0.57468098402   || 1
<s>             | een             | 3.55916833878   <-> 3.56866502762   || 0
een             | <UNK>           | 1.79831528664   <-> 2.32764863968   || 0
<UNK>           | in              | 3.18404889107   <-> 3.058416605     || 1
in              | de              | 1.18761634827   <-> 1.24273431301   || 0
de              | US              | 9.68999671936   <-> 9.07545280457   || 1
US              | Open            | 1.54856288433   <-> 1.00194227695   || 1
Open            | betekent        | 8.56693744659   <-> 8.22702312469   || 1
betekent        | een             | 3.0884885788    <-> 2.86721372604   || 1
een             | extra           | 7.4422492981    <-> 6.70963668823   || 1
extra           | rondje          | 9.42015647888   <-> 10.2195444107   || 0
rondje          | van             | 3.89423847198   <-> 3.30832242966   || 1
van             | achttien        | 7.67991161346   <-> 6.87907314301   || 1
achttien        | holes           | 12.5654220581   <-> 10.8961801529   || 1
holes           | op              | 3.61598992348   <-> 4.14368247986   || 0
op              | maandag         | 8.1324224472    <-> 6.91175603867   || 1
maandag         | </s>            | 0.988341033459  <-> 0.795502245426  || 1
<s>             | de              | 1.9801145792    <-> 1.90497732162   || 1
de              | eerste          | 3.86102986336   <-> 3.82031726837   || 1
eerste          | twee            | 4.86301898956   <-> 4.95425844193   || 0
twee            | majors          | 12.3134117126   <-> 11.5802240372   || 1
majors          | van             | 2.88237428665   <-> 2.11945962906   || 1
van             | het             | 2.3485789299    <-> 2.29576992989   || 1
het             | seizoen         | 5.53348588943   <-> 5.21409606934   || 1
seizoen         | hebben          | 3.97832226753   <-> 3.49000024796   || 1
hebben          | we              | 4.05107879639   <-> 4.91417598724   || 0
we              | dus             | 6.34724521637   <-> 6.32672119141   || 1
dus             | gehad           | 7.39632034302   <-> 7.06976652145   || 1
gehad           | </s>            | 1.22218453884   <-> 0.978525876999  || 1
<s>             | dit             | 5.45897293091   <-> 4.93884468079   || 1
dit             | weekend         | 4.24001932144   <-> 3.94740986824   || 1
weekend         | staat           | 5.25172710419   <-> 5.38546657562   || 0
staat           | de              | 2.08540248871   <-> 1.84895348549   || 1
de              | derde           | 5.83497047424   <-> 6.36007118225   || 0
derde           | van             | 3.02879714966   <-> 3.12346458435   || 0
van             | de              | 0.925002455711  <-> 0.859379410744  || 1
de              | vier            | 5.53453826904   <-> 4.65848064423   || 1
vier            | op              | 6.08304834366   <-> 5.13882732391   || 1
op              | het             | 2.35176253319   <-> 2.71079158783   || 0
het             | programma       | 4.52687931061   <-> 3.62730813026   || 1
programma       | </s>            | 1.21130418777   <-> 1.51818430424   || 0
<s>             | de              | 2.00391411781   <-> 1.93990850449   || 1
de              | British         | 10.8079156876   <-> 11.4379587173   || 0
British         | Open            | 5.4313249588    <-> 1.69709968567   || 1
Open            | </s>            | 3.63647556305   <-> 4.27709388733   || 0
<s>             | gespeeld        | 11.7954416275   <-> 10.7521018982   || 1
gespeeld        | op              | 3.43091917038   <-> 2.69693183899   || 1
op              | de              | 1.34651505947   <-> 1.30755603313   || 1
de              | authentieke     | 10.5632505417   <-> 10.4943161011   || 1
authentieke     | <UNK>           | 1.51115739346   <-> 1.95665812492   || 0
<UNK>           | van             | 2.16690826416   <-> 1.42802786827   || 1
van             | <UNK>           | 2.12115097046   <-> 2.3536491394    || 0
<UNK>           | aan             | 6.08774662018   <-> 6.2393283844    || 0
aan             | de              | 1.08539581299   <-> 1.05443549156   || 1
de              | Schotse         | 8.12835407257   <-> 8.32946491241   || 0
Schotse         | kust            | 5.11624145508   <-> 3.99077486992   || 1
kust            | </s>            | 1.26672172546   <-> 1.58784294128   || 0
<s>             | een             | 3.4842312336    <-> 3.58496236801   || 0
een             | baan            | 8.51996517181   <-> 8.54125595093   || 0
baan            | waar            | 5.72861385345   <-> 5.41131877899   || 1
waar            | ze              | 3.59758996964   <-> 2.93567657471   || 1
ze              | geen            | 4.52241420746   <-> 4.89324569702   || 0
geen            | enkele          | 4.15759658813   <-> 3.42637944221   || 1
enkele          | kunstmatige     | 11.3046483994   <-> 10.6227083206   || 1
kunstmatige     | hindernis       | 9.20933151245   <-> 8.87265968323   || 1
hindernis       | hebben          | 3.67126584053   <-> 2.48507261276   || 1
hebben          | gelegd          | 6.57286453247   <-> 6.36747074127   || 1
gelegd          | omdat           | 5.82122135162   <-> 5.7780714035    || 1
omdat           | er              | 3.30686211586   <-> 3.30810427666   || 0
er              | een             | 2.03215050697   <-> 2.25094723701   || 0
een             | natuurlijke     | 8.63272666931   <-> 8.03757286072   || 1
natuurlijke     | hindernis       | 8.82058906555   <-> 8.73377799988   || 1
hindernis       | is              | 2.34723234177   <-> 1.59655821323   || 1
is              | die             | 4.69205760956   <-> 4.26757860184   || 1
die             | al              | 4.72787666321   <-> 4.75758171082   || 0
al              | haar            | 6.27339172363   <-> 5.86868476868   || 1
haar            | kunstmatige     | 11.1279430389   <-> 10.7841749191   || 1
kunstmatige     | collega's       | 7.32447433472   <-> 8.2128610611    || 0
collega's       | overbodig       | 10.7160491943   <-> 9.38590431213   || 1
overbodig       | maakt           | 4.82308483124   <-> 4.30406665802   || 1
maakt           | </s>            | 0.508046746254  <-> 0.285183906555  || 1
<s>             | de              | 1.81554150581   <-> 2.18245172501   || 0
de              | felle           | 9.7167673111    <-> 9.88033771515   || 0
felle           | <UNK>           | 1.95081067085   <-> 2.44906067848   || 0
<UNK>           | </s>            | 4.82036161423   <-> 4.08077955246   || 1
<s>             | verder          | 7.81018686295   <-> 7.58139038086   || 1
verder          | maaien          | 12.882932663    <-> 11.7526226044   || 1
maaien          | ze              | 3.17893409729   <-> 3.1479139328    || 1
ze              | het             | 3.59674668312   <-> 3.06985473633   || 1
het             | gras            | 8.10857200623   <-> 7.77817153931   || 1
gras            | één           | 8.0431137085    <-> 8.99655628204   || 0
één           | keer            | 3.38870716095   <-> 3.08432936668   || 1
keer            | per             | 4.96728897095   <-> 4.79119539261   || 1
per             | jaar            | 1.97182166576   <-> 1.98745906353   || 0
jaar            | en              | 3.26977491379   <-> 3.34583806992   || 0
en              | dat             | 3.89374303818   <-> 4.41631746292   || 0
dat             | is              | 2.41782426834   <-> 1.99015712738   || 1
is              | zeker           | 5.84727430344   <-> 6.07946968079   || 0
zeker           | niet            | 2.75344181061   <-> 2.38608551025   || 1
niet            | voor            | 3.64522433281   <-> 4.47436904907   || 0
voor            | de              | 1.10945439339   <-> 1.35159516335   || 0
de              | Open            | 9.82479190826   <-> 8.83863639832   || 1
Open            | </s>            | 2.29164552689   <-> 1.84417140484   || 1
<s>             | Schotten        | 13.5833330154   <-> 12.6726551056   || 1
Schotten        | zijn            | 2.84071016312   <-> 3.1797273159    || 0
zijn            | zondag          | 7.26650047302   <-> 8.158411026     || 0
zondag          | </s>            | 3.03614139557   <-> 2.37413311005   || 1
<s>             | voor            | 4.55999040604   <-> 4.39958381653   || 1
voor            | hen             | 5.52080154419   <-> 5.80145215988   || 0
hen             | was             | 3.8390994072    <-> 3.73711872101   || 1
was             | de              | 1.69835925102   <-> 1.6374630928    || 1
de              | beste           | 5.55987358093   <-> 5.48119163513   || 1
beste           | <UNK>           | 2.03463101387   <-> 2.50648283958   || 0
<UNK>           | <UNK>           | 2.9161593914    <-> 3.64815330505   || 0
<UNK>           | Natuur          | 13.1763677597   <-> 13.562171936    || 0
Natuur          | </s>            | 1.29532837868   <-> 1.091827631     || 1
<s>             | Gary            | 10.7526025772   <-> 10.7723007202   || 0
Gary            | Player          | 11.8327035904   <-> 10.9767942429   || 1
Player          | vatte           | 9.49740028381   <-> 10.219247818    || 0
vatte           | het             | 2.82582688332   <-> 2.84730839729   || 0
het             | zo              | 5.83306598663   <-> 6.91535282135   || 0
zo              | samen           | 6.89411449432   <-> 6.6743979454    || 1
samen           | </s>            | 2.02777552605   <-> 2.72705793381   || 0
<s>             | <UNK>           | 3.07802700996   <-> 3.03085947037   || 1
<UNK>           | is              | 3.07420682907   <-> 3.10913777351   || 0
is              | het             | 3.13387346268   <-> 2.89751911163   || 1
het             | bewijs          | 6.72347640991   <-> 6.70357561111   || 1
bewijs          | dat             | 1.24892246723   <-> 0.569940567017  || 1
dat             | men             | 5.20949029922   <-> 4.88362121582   || 1
men             | zelfs           | 6.20386505127   <-> 6.53003501892   || 0
zelfs           | een             | 2.22379493713   <-> 2.43777394295   || 0
een             | moeras          | 11.4033184052   <-> 11.1592350006   || 1
moeras          | nog             | 7.24598407745   <-> 7.4711265564    || 0
nog             | <UNK>           | 3.60134553909   <-> 3.60734009743   || 0
<UNK>           | kan             | 3.76786518097   <-> 4.17758131027   || 0
kan             | maken           | 3.47864603996   <-> 3.88097453117   || 0
maken           | </s>            | 0.504190027714  <-> 0.474156439304  || 1
<s>             | en              | 4.04374694824   <-> 4.19445610046   || 0
en              | de              | 2.73910093307   <-> 2.67712926865   || 1
de              | grote           | 5.2866191864    <-> 5.76214027405   || 0
grote           | Ben             | 12.4940681458   <-> 11.9520359039   || 1
Ben             | <UNK>           | 1.3154488802    <-> 0.9717015028    || 1
<UNK>           | bekeek          | 10.3100662231   <-> 10.2112674713   || 1
bekeek          | <UNK>           | 3.27973270416   <-> 3.67746019363   || 0
<UNK>           | met             | 3.28514432907   <-> 3.82221770287   || 0
met             | een             | 1.81956934929   <-> 1.95748460293   || 0
een             | scherpe         | 7.91017436981   <-> 7.34605360031   || 1
scherpe         | blik            | 6.78329086304   <-> 6.01299858093   || 1
blik            | en              | 3.27364778519   <-> 3.11791753769   || 1
en              | sprak           | 8.82983779907   <-> 9.22879886627   || 0
sprak           | </s>            | 4.44679832458   <-> 4.09108448029   || 1
<s>             | het             | 2.77428674698   <-> 2.60469460487   || 1
het             | <UNK>           | 2.46916055679   <-> 2.5242190361    || 0
<UNK>           | te              | 6.36500549316   <-> 7.69938278198   || 0
te              | veel            | 3.89831113815   <-> 3.30382514      || 1
veel            | </s>            | 3.77647018433   <-> 3.58901453018   || 1
<s>             | toen            | 5.33186531067   <-> 5.49969005585   || 0
toen            | Lee             | 9.71159934998   <-> 10.8120231628   || 0
Lee             | <UNK>           | 1.79892504215   <-> 1.83390510082   || 0
<UNK>           | met             | 4.06631422043   <-> 3.81800794601   || 1
met             | zijn            | 3.23742437363   <-> 3.11828136444   || 1
zijn            | tweede          | 6.2786283493    <-> 6.05003166199   || 1
tweede          | shot            | 10.430478096    <-> 9.32622146606   || 1
shot            | in              | 3.08631825447   <-> 2.45378422737   || 1
in              | de              | 1.14255166054   <-> 1.24878680706   || 0
de              | <UNK>           | 1.97585558891   <-> 2.32402777672   || 0
<UNK>           | belandde        | 8.14335823059   <-> 6.70066261292   || 1
belandde        | en              | 3.46216130257   <-> 3.17677402496   || 1
en              | aan             | 5.38259220123   <-> 5.47270679474   || 0
