input           | target          | original0       <-> cbow_mean_soft0 || best model: 0:first, 1:second
hole            | op              | 3.94823169708   <-> 4.14040660858   || 0
op              | de              | 1.14308214188   <-> 1.27290129662   || 0
de              | baan            | 7.53812217712   <-> 6.61939525604   || 1
baan            | van             | 2.10328030586   <-> 2.1218020916    || 0
van             | <UNK>           | 2.347843647     <-> 2.3397603035    || 1
<UNK>           | No              | 10.5282506943   <-> 10.2878036499   || 1
No              | </s>            | 3.77538108826   <-> 4.14994764328   || 0
<s>             | een             | 3.39050674438   <-> 3.50815415382   || 0
een             | par             | 12.7680482864   <-> 13.2686672211   || 0
par             | vier            | 8.34469795227   <-> 7.75029087067   || 1
vier            | komma           | 2.69885969162   <-> 3.10094857216   || 0
komma           | en              | 5.52428483963   <-> 3.90678858757   || 1
en              | niet            | 5.57401847839   <-> 5.2172794342    || 1
niet            | eens            | 5.30759811401   <-> 4.41362380981   || 1
eens            | een             | 2.81321287155   <-> 2.41562223434   || 1
een             | moeilijke       | 7.60408687592   <-> 7.02637815475   || 1
moeilijke       | </s>            | 7.88817119598   <-> 6.57001399994   || 1
<s>             | elf             | 8.12758827209   <-> 8.72386264801   || 0
elf             | slagen          | 10.7580795288   <-> 10.0501394272   || 1
slagen          | had             | 7.51709365845   <-> 7.08819103241   || 1
had             | hij             | 5.06402540207   <-> 4.61000442505   || 1
hij             | nodig           | 6.37719106674   <-> 6.69031190872   || 0
nodig           | </s>            | 1.5086414814    <-> 1.23814249039   || 1
<s>             | elf             | 8.55987453461   <-> 8.53943729401   || 1
elf             | </s>            | 5.62853813171   <-> 4.44660949707   || 1
<s>             | waaronder       | 11.6747598648   <-> 12.462934494    || 0
waaronder       | twee            | 4.2133436203    <-> 4.14576387405   || 1
twee            | <UNK>           | 3.34116315842   <-> 2.5034506321    || 1
<UNK>           | omdat           | 8.07491493225   <-> 7.99819850922   || 1
omdat           | hij             | 2.18297958374   <-> 2.47161197662   || 0
hij             | van             | 4.85961723328   <-> 4.90457725525   || 0
van             | <UNK>           | 2.72722482681   <-> 2.55276679993   || 1
<UNK>           | op              | 4.22551822662   <-> 4.39254379272   || 0
op              | een             | 2.27283525467   <-> 2.29954981804   || 0
een             | <UNK>           | 1.87667942047   <-> 1.95262205601   || 0
<UNK>           | bal             | 10.3258132935   <-> 9.52585983276   || 1
bal             | had             | 3.76534032822   <-> 4.1935377121    || 0
had             | <UNK>           | 3.29568624496   <-> 3.46896886826   || 0
<UNK>           | </s>            | 1.63166797161   <-> 1.74215447903   || 0
<s>             | toen            | 5.18239688873   <-> 5.37454891205   || 0
toen            | hij             | 1.96630525589   <-> 2.30018115044   || 0
hij             | na              | 4.76811408997   <-> 5.28102874756   || 0
na              | zijn            | 3.28356814384   <-> 2.65474915504   || 1
zijn            | achtste         | 7.03370094299   <-> 7.5052728653    || 0
achtste         | shot            | 10.9170837402   <-> 10.1643075943   || 1
shot            | eindelijk       | 7.06589126587   <-> 6.83016204834   || 1
eindelijk       | op              | 3.98376345634   <-> 3.71952676773   || 1
op              | de              | 1.37987720966   <-> 1.26882457733   || 1
de              | green           | 12.2761707306   <-> 12.0254554749   || 1
green           | lag             | 7.5964345932    <-> 7.11804962158   || 1
lag             | waar            | 6.25869178772   <-> 6.67365837097   || 0
waar            | hij             | 1.93021416664   <-> 1.52679872513   || 1
hij             | met             | 3.97542881966   <-> 3.97247576714   || 1
met             | zijn            | 3.15443348885   <-> 2.74171876907   || 1
zijn            | tweede          | 5.69075775146   <-> 5.12455844879   || 1
tweede          | dwars           | 13.1995820999   <-> 12.7155647278   || 1
dwars           | doorheen        | 9.13670825958   <-> 8.63908576965   || 1
doorheen        | was             | 5.90086269379   <-> 4.95002508163   || 1
was             | <UNK>           | 3.60947751999   <-> 3.89278078079   || 0
<UNK>           | had             | 5.90960168839   <-> 4.49777746201   || 1
had             | hij             | 1.57578980923   <-> 0.705050885677  || 1
hij             | nog             | 3.81372594833   <-> 3.55956077576   || 1
nog             | eens            | 3.52900886536   <-> 3.08521485329   || 1
eens            | drie            | 5.65686798096   <-> 4.76835870743   || 1
drie            | <UNK>           | 3.16093349457   <-> 3.12008261681   || 1
<UNK>           | nodig           | 5.43381404877   <-> 5.17772912979   || 1
nodig           | </s>            | 0.680479764938  <-> 0.684863746166  || 0
<s>             | lezers          | 10.9623699188   <-> 11.7526245117   || 0
lezers          | van             | 2.94308328629   <-> 2.92302966118   || 1
van             | Knack           | 9.91069316864   <-> 9.32097434998   || 1
Knack           | kennen          | 7.13738965988   <-> 7.64148855209   || 0
kennen          | John            | 9.39416217804   <-> 8.44017219543   || 1
John            | <UNK>           | 1.3537299633    <-> 1.42801034451   || 0
<UNK>           | wij             | 9.68338871002   <-> 10.9008255005   || 0
wij             | hebben          | 5.21406126022   <-> 5.51668453217   || 0
hebben          | u               | 7.53283834457   <-> 7.60009384155   || 0
u               | al              | 4.05963516235   <-> 3.95172762871   || 1
al              | meermaals       | 7.31463813782   <-> 6.35258865356   || 1
meermaals       | over            | 5.21574926376   <-> 4.98354244232   || 1
over            | hem             | 4.90941572189   <-> 3.98494911194   || 1
hem             | verteld         | 6.26409101486   <-> 5.56673145294   || 1
verteld         | </s>            | 0.530095815659  <-> 0.37983211875   || 1
<s>             | een             | 3.60508441925   <-> 3.73854899406   || 0
een             | <UNK>           | 1.80322408676   <-> 1.95528352261   || 0
<UNK>           | buiten          | 8.47009086609   <-> 8.6785774231    || 0
buiten          | categorie       | 10.9926815033   <-> 10.9888525009   || 1
categorie       | die             | 4.00770378113   <-> 5.47391462326   || 0
die             | in              | 3.08470726013   <-> 3.28599452972   || 0
in              | negentien       | 3.1465344429    <-> 2.7683339119    || 1
negentien       | honderd         | 0.00471325870603 <-> 0.0080138342455 || 0
honderd         | één-en        | 2.65647983551   <-> 2.89927983284   || 0
één-en        | negentig        | 0.808912873268  <-> 0.805419564247  || 1
negentig        | door            | 4.66422748566   <-> 5.46084594727   || 0
door            | de              | 1.00137519836   <-> 1.50497984886   || 0
de              | vele            | 6.95362472534   <-> 8.53959941864   || 0
vele            | forfaits        | 12.2425270081   <-> 11.3687801361   || 1
forfaits        | per             | 7.75009584427   <-> 8.4674949646    || 0
per             | ongeluk         | 4.01629829407   <-> 2.00707435608   || 1
ongeluk         | in              | 3.00948429108   <-> 3.45710921288   || 0
in              | de              | 1.21145796776   <-> 1.44515752792   || 0
de              | <UNK>           | 2.12212014198   <-> 2.34966874123   || 0
<UNK>           | van             | 2.25831747055   <-> 3.1357216835    || 0
van             | de              | 1.23939323425   <-> 1.35903501511   || 0
de              | US              | 8.811170578     <-> 6.76365566254   || 1
US              | <UNK>           | 1.28341126442   <-> 2.25454759598   || 0
<UNK>           | op              | 4.166410923     <-> 4.46445035934   || 0
op              | <UNK>           | 3.23656821251   <-> 2.93886828423   || 1
<UNK>           | <UNK>           | 2.5793492794    <-> 3.7838845253    || 0
<UNK>           | geraakte        | 9.06100082397   <-> 6.83534812927   || 1
geraakte        | </s>            | 1.59705710411   <-> 1.84802937508   || 0
<s>             | <UNK>           | 2.98750209808   <-> 3.11342120171   || 0
<UNK>           | pas             | 8.30111885071   <-> 8.58341789246   || 0
pas             | in              | 2.33120632172   <-> 2.90397000313   || 0
in              | extremis        | 7.9770565033    <-> 8.03093147278   || 0
extremis        | opgeroepen      | 9.99767971039   <-> 10.4249753952   || 0
opgeroepen      | kwam            | 6.5651845932    <-> 6.54606294632   || 1
kwam            | net             | 6.52613830566   <-> 6.79856443405   || 0
net             | op              | 2.52819466591   <-> 3.16341543198   || 0
op              | tijd            | 7.07155561447   <-> 6.56864976883   || 1
tijd            | in              | 2.89063835144   <-> 3.1246111393    || 0
in              | Indianapolis    | 10.9749126434   <-> 10.1673002243   || 1
Indianapolis    | aan             | 4.63364362717   <-> 5.08432912827   || 0
aan             | om              | 5.00861930847   <-> 6.09407806396   || 0
om              | van             | 4.81144142151   <-> 5.14293193817   || 0
van             | start           | 7.73232841492   <-> 6.77991437912   || 1
start           | te              | 1.21012234688   <-> 0.885253429413  || 1
te              | kunnen          | 4.23660326004   <-> 4.83528614044   || 0
kunnen          | gaan            | 3.27577137947   <-> 2.57625818253   || 1
gaan            | in              | 3.48349571228   <-> 3.27187919617   || 1
in              | de              | 1.08161389828   <-> 1.16046380997   || 0
de              | eerste          | 3.63365507126   <-> 3.84860539436   || 0
eerste          | ronde           | 2.0380449295    <-> 2.05837845802   || 0
ronde           | moest           | 7.87506484985   <-> 9.52938079834   || 0
moest           | clubs           | 11.173582077    <-> 11.7201862335   || 0
clubs           | en              | 3.57759046555   <-> 3.15670919418   || 1
en              | een             | 3.32021450996   <-> 3.87846922874   || 0
een             | <UNK>           | 1.81664872169   <-> 1.89742326736   || 0
<UNK>           | lenen           | 10.0421724319   <-> 9.21005058289   || 1
lenen           | en              | 3.29951810837   <-> 3.45777416229   || 0
en              | won             | 8.3104391098    <-> 9.27742290497   || 0
won             | tot             | 5.42410469055   <-> 4.97263908386   || 1
tot             | <UNK>           | 3.653870821     <-> 3.43263578415   || 1
<UNK>           | verbijstering   | 12.3745756149   <-> 11.7194824219   || 1
verbijstering   | het             | 5.35148048401   <-> 5.615858078     || 0
het             | toernooi        | 8.32333660126   <-> 8.85001373291   || 0
toernooi        | </s>            | 2.06363463402   <-> 1.858294487     || 1
<s>             | John            | 8.01948833466   <-> 8.31235218048   || 0
John            | wie             | 11.9327535629   <-> 11.4441366196   || 1
wie             | zonder          | 6.89409351349   <-> 7.37270545959   || 0
zonder          | zonde           | 10.3248262405   <-> 10.0561828613   || 1
zonde           | is              | 2.31973433495   <-> 2.63343405724   || 0
is              | <UNK>           | 4.15378665924   <-> 4.79046916962   || 0
<UNK>           | de              | 2.2889418602    <-> 2.69151496887   || 0
de              | eerste          | 4.06603574753   <-> 4.16298866272   || 0
eerste          | steen           | 7.08846569061   <-> 7.09821510315   || 0
steen           | raakte          | 10.0694179535   <-> 10.1599559784   || 0
raakte          | daarna          | 7.06137180328   <-> 7.74836301804   || 0
daarna          | aan             | 4.64073753357   <-> 4.24453783035   || 1
aan             | de              | 1.07216823101   <-> 0.97851061821   || 1
de              | drank           | 9.27115440369   <-> 9.32085990906   || 0
drank           | </s>            | 1.19046187401   <-> 1.03381371498   || 1
<s>             | hij             | 3.12394285202   <-> 3.98243737221   || 0
hij             | stelde          | 5.96304798126   <-> 5.79525566101   || 1
stelde          | zich            | 3.00938987732   <-> 3.46297812462   || 0
zich            | gewelddadig     | 12.1632995605   <-> 12.2151451111   || 0
gewelddadig     | op              | 2.47248649597   <-> 2.11974906921   || 1
op              | tegen           | 5.56444787979   <-> 5.0322432518    || 1
tegen           | zijn            | 3.49560642242   <-> 3.85697937012   || 0
zijn            | eerste          | 4.28866004944   <-> 3.82167673111   || 1
eerste          | vervolgens      | 13.5569877625   <-> 12.4913053513   || 1
vervolgens      | tegen           | 5.21737861633   <-> 5.04904413223   || 1
tegen           | zijn            | 3.6461353302    <-> 3.83775472641   || 0
zijn            | tweede          | 5.37835216522   <-> 4.06123065948   || 1
