input           | target          | original0       <-> cbow_mean_soft0 || best model: 0:first, 1:second
in              | negen-en        | 7.55941867828   <-> 7.34544277191   || 1
negen-en        | tachtig         | 2.91372537613   <-> 3.25821280479   || 0
tachtig         | de              | 6.62179470062   <-> 6.53110361099   || 1
de              | US              | 7.54310512543   <-> 6.71853351593   || 1
US              | <UNK>           | 1.78861987591   <-> 3.90650081635   || 0
<UNK>           | en              | 3.23386335373   <-> 3.25896000862   || 0
en              | in              | 3.45232892036   <-> 3.45788955688   || 0
in              | één-en        | 7.72970151901   <-> 7.51317739487   || 1
één-en        | negentig        | 3.42420721054   <-> 2.73931264877   || 1
negentig        | zijn            | 5.33155202866   <-> 6.71858930588   || 0
zijn            | eerste          | 4.23277378082   <-> 3.52477097511   || 1
eerste          | van             | 4.55686903      <-> 4.72086811066   || 0
van             | twee            | 3.17608594894   <-> 2.85357236862   || 1
twee            | US              | 11.538643837    <-> 11.3666439056   || 1
US              | <UNK>           | 1.987860322     <-> 1.57635545731   || 1
<UNK>           | </s>            | 1.73004007339   <-> 1.20380699635   || 1
<s>             | Payne           | 13.6430568695   <-> 13.6388082504   || 1
Payne           | is              | 3.13834524155   <-> 3.61201047897   || 0
is              | een             | 2.25011706352   <-> 2.28579163551   || 0
een             | van             | 4.13673591614   <-> 3.83355355263   || 1
van             | de              | 1.0768225193    <-> 0.866921305656  || 1
de              | weinige         | 5.4561123848    <-> 2.80163884163   || 1
weinige         | profs           | 8.81914138794   <-> 9.40546798706   || 0
profs           | die             | 2.85601949692   <-> 2.26224374771   || 1
die             | met             | 4.29785060883   <-> 4.10466384888   || 1
met             | plezier         | 8.17781639099   <-> 7.47002315521   || 1
plezier         | de              | 4.18550729752   <-> 3.59060025215   || 1
de              | <UNK>           | 2.16410756111   <-> 2.40243148804   || 0
<UNK>           | aantrekt        | 10.0117797852   <-> 9.9679517746    || 1
aantrekt        | en              | 2.80714917183   <-> 2.85726928711   || 0
en              | daarbij         | 8.71837043762   <-> 7.94121313095   || 1
daarbij         | gewaagde        | 12.7944736481   <-> 12.8259811401   || 0
gewaagde        | <UNK>           | 2.11121726036   <-> 2.12965917587   || 0
<UNK>           | niet            | 4.91485404968   <-> 4.82765865326   || 1
niet            | schuwt          | 11.3023147583   <-> 9.47310352325   || 1
schuwt          | </s>            | 0.794687092304  <-> 0.373596310616  || 1
<s>             | overigens       | 8.0943479538    <-> 8.22250556946   || 0
overigens       | is              | 2.40609049797   <-> 2.81523299217   || 0
is              | het             | 1.81591773033   <-> 1.6658885479    || 1
het             | in              | 4.00100708008   <-> 3.49991321564   || 1
in              | golf            | 12.6207504272   <-> 13.1863622665   || 0
golf            | niet            | 4.97136354446   <-> 4.48417043686   || 1
niet            | belangrijk      | 7.36196231842   <-> 7.23431921005   || 1
belangrijk      | wat             | 4.99351596832   <-> 5.31143188477   || 0
wat             | iemand          | 6.40368890762   <-> 7.77961778641   || 0
iemand          | draagt          | 8.71847915649   <-> 8.56733512878   || 1
draagt          | wel             | 6.05248355865   <-> 7.25441932678   || 0
wel             | hoeveel         | 8.87310504913   <-> 10.2803630829   || 0
hoeveel         | hij             | 4.50131988525   <-> 4.15723323822   || 1
hij             | betaald         | 10.0234737396   <-> 9.79780387878   || 1
betaald         | wordt           | 3.10996246338   <-> 2.88698387146   || 1
wordt           | om              | 3.33179664612   <-> 3.89399290085   || 0
om              | het             | 2.64980340004   <-> 2.53550386429   || 1
het             | te              | 4.037733078     <-> 3.76203036308   || 1
te              | dragen          | 6.05922842026   <-> 5.74433040619   || 1
dragen          | </s>            | 0.665658771992  <-> 0.308407098055  || 1
<s>             | de              | 2.18594908714   <-> 2.00081944466   || 1
de              | man             | 4.66432952881   <-> 4.75636816025   || 0
man             | die             | 3.2684905529    <-> 3.20586514473   || 1
die             | het             | 3.18751740456   <-> 3.10652470589   || 1
het             | meest           | 5.49800682068   <-> 5.13698101044   || 1
meest           | in              | 4.38080406189   <-> 3.68765926361   || 1
in              | de              | 1.18932461739   <-> 1.13238286972   || 1
de              | kijker          | 6.14718437195   <-> 6.1582365036    || 0
kijker          | liep            | 6.08330154419   <-> 5.87273216248   || 1
liep            | was             | 2.84224700928   <-> 3.68638134003   || 0
was             | deze            | 6.47535467148   <-> 6.36973285675   || 1
deze            | keer            | 2.37869167328   <-> 2.59665369987   || 0
keer            | nochtans        | 8.34527492523   <-> 7.66947031021   || 1
nochtans        | niet            | 2.91144323349   <-> 2.39416790009   || 1
niet            | de              | 4.66176128387   <-> 4.56115245819   || 1
de              | winnaar         | 6.75937604904   <-> 6.23266410828   || 1
winnaar         | maar            | 4.98817062378   <-> 5.18185377121   || 0
maar            | de              | 2.61154103279   <-> 2.57448410988   || 1
de              | tweede          | 4.6496515274    <-> 5.1095533371    || 0
tweede          | </s>            | 5.41360139847   <-> 6.0386557579    || 0
<s>             | Phil            | 10.6981506348   <-> 10.7039661407   || 0
Phil            | <UNK>           | 1.79706823826   <-> 1.56297361851   || 1
<UNK>           | </s>            | 3.08560371399   <-> 2.56720352173   || 1
<s>             | en              | 4.26792669296   <-> 4.05222606659   || 1
en              | wel             | 6.05671072006   <-> 6.02312707901   || 1
wel             | omdat           | 5.71754264832   <-> 5.4580078125    || 1
omdat           | zijn            | 4.5355629921    <-> 4.20579242706   || 1
zijn            | vrouw           | 4.35486459732   <-> 4.3938035965    || 0
vrouw           | elk             | 8.835313797     <-> 7.88810062408   || 1
elk             | moment          | 4.64144277573   <-> 5.27112865448   || 0
moment          | van             | 3.56938314438   <-> 3.6802008152    || 0
van             | hun             | 5.67167472839   <-> 4.78784561157   || 1
hun             | eerste          | 4.40791988373   <-> 4.61378908157   || 0
eerste          | kind            | 6.15506839752   <-> 5.51450300217   || 1
kind            | kon             | 4.24193096161   <-> 5.30382585526   || 0
kon             | bevallen        | 9.24336242676   <-> 8.40720748901   || 1
bevallen        | </s>            | 0.626918971539  <-> 0.923906981945  || 0
<s>             | tenminste       | 9.58035850525   <-> 9.21870994568   || 1
tenminste       | volgens         | 7.77851295471   <-> 6.60390090942   || 1
volgens         | Phil            | 10.3544740677   <-> 9.96453762054   || 1
Phil            | </s>            | 5.17448043823   <-> 5.71419334412   || 0
<s>             | volgens         | 6.11822462082   <-> 5.35954427719   || 1
volgens         | de              | 1.39387190342   <-> 1.26865613461   || 1
de              | dokters         | 8.87121391296   <-> 7.67452526093   || 1
dokters         | zou             | 5.00587654114   <-> 5.02489280701   || 0
zou             | dat             | 4.64626169205   <-> 4.13998270035   || 1
dat             | nog             | 3.8401966095    <-> 3.7659368515    || 1
nog             | veertien        | 9.24436569214   <-> 8.24593925476   || 1
veertien        | dagen           | 2.81024456024   <-> 4.14892959595   || 0
dagen           | duren           | 4.15768146515   <-> 3.62892580032   || 1
duren           | </s>            | 0.479578375816  <-> 0.491902709007  || 0
<s>             | maar            | 3.43865060806   <-> 3.42602872849   || 1
maar            | Phil            | 12.0159168243   <-> 11.7361621857   || 1
Phil            | wenste          | 11.2621793747   <-> 11.9101219177   || 0
wenste          | geen            | 5.14476633072   <-> 4.05841684341   || 1
geen            | risico          | 7.89081096649   <-> 7.31596088409   || 1
risico          | te              | 1.91626930237   <-> 1.3326176405    || 1
te              | nemen           | 4.51303911209   <-> 3.67043042183   || 1
nemen           | had             | 8.56796073914   <-> 9.42221164703   || 0
had             | een             | 2.929946661     <-> 3.19737434387   || 0
een             | speciale        | 6.7021484375    <-> 6.89639472961   || 0
speciale        | <UNK>           | 1.86567246914   <-> 1.95296251774   || 0
<UNK>           | aan             | 4.16906547546   <-> 4.45513343811   || 0
aan             | zijn            | 3.70190262794   <-> 3.11444807053   || 1
zijn            | broekriem       | 12.333398819    <-> 11.2535209656   || 1
broekriem       | gebonden        | 9.37171840668   <-> 7.91926813126   || 1
gebonden        | en              | 2.48749876022   <-> 3.04079675674   || 0
en              | een             | 3.24631714821   <-> 3.46582984924   || 0
een             | <UNK>           | 1.83343172073   <-> 2.21169924736   || 0
<UNK>           | <UNK>           | 2.88371396065   <-> 2.82900238037   || 1
<UNK>           | gezet           | 9.4278793335    <-> 8.63117980957   || 1
gezet           | om              | 3.86846923828   <-> 3.97805833817   || 0
om              | zodra           | 10.5140209198   <-> 10.7107496262   || 0
zodra           | de              | 1.54981637001   <-> 1.71620941162   || 0
de              | <UNK>           | 1.96423399448   <-> 2.14159607887   || 0
<UNK>           | begonnen        | 9.23594093323   <-> 9.05598640442   || 1
begonnen        | het             | 5.87277507782   <-> 6.09085273743   || 0
het             | golf            | 11.8522338867   <-> 12.745557785    || 0
golf            | te              | 2.73392391205   <-> 4.22238588333   || 0
te              | laten           | 3.41315197945   <-> 3.70519542694   || 0
laten           | voor            | 5.92034244537   <-> 8.2925901413    || 0
voor            | wat             | 5.68801498413   <-> 5.77468681335   || 0
wat             | het             | 3.12694120407   <-> 3.00905513763   || 1
het             | was             | 5.62111997604   <-> 4.78332233429   || 1
was             | en              | 3.77288150787   <-> 3.81287097931   || 0
en              | naar            | 6.41724586487   <-> 6.54861450195   || 0
naar            | huis            | 5.38156938553   <-> 5.76101303101   || 0
huis            | in              | 3.48184490204   <-> 3.68689608574   || 0
in              | Arizona         | 10.1127128601   <-> 9.96034049988   || 1
Arizona         | te              | 3.03739857674   <-> 4.49884796143   || 0
te              | vliegen         | 6.54584503174   <-> 5.99347019196   || 1
vliegen         | </s>            | 0.416744977236  <-> 0.766031384468  || 0
<s>             | vijf            | 7.49180364609   <-> 7.44500684738   || 1
vijf            | uur             | 4.48994541168   <-> 3.67036938667   || 1
uur             | van             | 3.77335500717   <-> 4.33348369598   || 0
van             | </s>            | 6.96625089645   <-> 5.42374610901   || 1
<s>             | wat             | 5.77854442596   <-> 5.36016559601   || 1
wat             | eerst           | 8.17597198486   <-> 8.42512798309   || 0
eerst           | een             | 2.99143075943   <-> 3.12784028053   || 0
een             | van             | 4.376121521     <-> 4.11232852936   || 1
van             | de              | 0.900552153587  <-> 0.902779579163  || 0
de              | vele            | 6.15828990936   <-> 5.34426116943   || 1
vele            | onbeduidende    | 12.5618457794   <-> 12.6269111633   || 0
onbeduidende    | faits           | 12.2990846634   <-> 12.8344755173   || 0
faits           | divers          | 9.12840938568   <-> 6.87904405594   || 1
divers          | was             | 3.76263809204   <-> 2.98160171509   || 1
was             | zoals           | 6.29480838776   <-> 6.59634542465   || 0
zoals           | er              | 3.94869995117   <-> 3.5599565506    || 1
er              | in              | 2.97237324715   <-> 3.37239193916   || 0
in              | elk             | 5.94150733948   <-> 5.37928009033   || 1
elk             | groot           | 9.74491214752   <-> 10.1023588181   || 0
groot           | toernooi        | 10.3174247742   <-> 9.42197227478   || 1
toernooi        | tientallen      | 9.95027160645   <-> 10.1777076721   || 0
tientallen      | te              | 5.58073234558   <-> 5.9030790329    || 0
te              | rapen           | 6.78879261017   <-> 6.96840953827   || 0
rapen           | vallen          | 7.33817768097   <-> 7.3951177597    || 0
vallen          | werd            | 5.29892015457   <-> 3.8202214241    || 1
werd            | plots           | 7.96706962585   <-> 7.51094961166   || 1
plots           | het             | 4.09949111938   <-> 4.12305355072   || 0
het             | onderwerp       | 6.89939308167   <-> 6.84900569916   || 1
onderwerp       | van             | 1.53431141376   <-> 1.11467623711   || 1
van             | gesprek         | 10.88322258     <-> 11.4383487701   || 0
gesprek         | toen            | 5.6416425705    <-> 6.21112918854   || 0
toen            | <UNK>           | 3.42083597183   <-> 3.05570220947   || 1
<UNK>           | de              | 2.59811091423   <-> 2.81661248207   || 0
de              | voorlaatste     | 10.016787529    <-> 9.90560913086   || 1
voorlaatste     | dag             | 3.91793441772   <-> 2.72624278069   || 1
dag             | afsloot         | 9.15546512604   <-> 9.17369270325   || 0
afsloot         | met             | 2.40912055969   <-> 1.95638203621   || 1
met             | slechts         | 8.07358837128   <-> 8.11205673218   || 0
slechts         | één           | 2.61720132828   <-> 3.00599431992   || 0
één           | <UNK>           | 2.75217437744   <-> 3.1980175972    || 0
<UNK>           | achterstand     | 9.74938964844   <-> 10.6615695953   || 0
achterstand     | op              | 2.68388009071   <-> 2.86780595779   || 0
op              | leider          | 10.8263492584   <-> 10.4927864075   || 1
leider          | Payne           | 13.7449808121   <-> 13.1430635452   || 1
Payne           | Stewart         | 11.7920122147   <-> 11.5795726776   || 1
Stewart         | </s>            | 1.17194736004   <-> 0.778404057026  || 1
<s>             | een             | 3.44174718857   <-> 3.37784767151   || 1
een             | steeds          | 8.89226722717   <-> 8.51619052887   || 1
steeds          | <UNK>           | 2.27381777763   <-> 2.77813601494   || 0
<UNK>           | wordende        | 9.41383266449   <-> 8.20913219452   || 1
wordende        | Phil            | 13.1977710724   <-> 14.1050186157   || 0
Phil            | telefoneerde    | 12.7742319107   <-> 13.0360803604   || 0
telefoneerde    | voor            | 4.45239877701   <-> 4.52879858017   || 0
voor            | de              | 1.06975471973   <-> 1.2041258812    || 0
de              | tachtigste      | 11.7399492264   <-> 11.5138435364   || 1
tachtigste      | keer            | 4.69216251373   <-> 3.01806497574   || 1
keer            | in              | 2.55923748016   <-> 2.57300329208   || 0
in              | drie            | 5.76999759674   <-> 6.42584753036   || 0
drie            | dagen           | 3.17172884941   <-> 3.46798682213   || 0
dagen           | naar            | 4.80342149734   <-> 4.88754367828   || 0
naar            | huis            | 5.6464381218    <-> 5.7680606842    || 0
huis            | en              | 2.51837253571   <-> 2.82788419724   || 0
en              | <UNK>           | 2.50269341469   <-> 2.52368164062   || 0
<UNK>           | zijn            | 4.51001691818   <-> 5.3992729187    || 0
zijn            | vrouw           | 5.73733520508   <-> 7.04788827896   || 0
vrouw           | hem             | 6.84955120087   <-> 7.45418643951   || 0
hem             | als             | 4.48244476318   <-> 5.00708580017   || 0
als             | het             | 3.20091700554   <-> 3.21121239662   || 0
het             | zover           | 7.63122081757   <-> 8.61752414703   || 0
zover           | was             | 4.46642589569   <-> 4.2881026268    || 1
was             | in              | 3.60988688469   <-> 3.62129688263   || 0
in              | elk             | 6.74384069443   <-> 6.45775508881   || 1
elk             | geval           | 0.492542564869  <-> 0.568991005421  || 0
geval           | te              | 3.1426486969    <-> 4.47474765778   || 0
te              | bellen          | 6.81196975708   <-> 7.32459449768   || 0
bellen          | om              | 4.42530536652   <-> 3.73668003082   || 1
om              | het             | 2.71483182907   <-> 2.50786399841   || 1
het             | even            | 5.95966148376   <-> 5.28018474579   || 1
even            | wanneer         | 8.8623046875    <-> 9.3636007309    || 0
wanneer         | en              | 5.99711990356   <-> 5.26156139374   || 1
en              | om              | 5.79746341705   <-> 6.20781183243   || 0
om              | het             | 2.68664598465   <-> 2.56008958817   || 1
het             | even            | 6.0265789032    <-> 5.33386325836   || 1
even            | waar            | 7.21836280823   <-> 7.64130353928   || 0
waar            | hij             | 2.45150494576   <-> 3.19046330452   || 0
hij             | zich            | 3.45594668388   <-> 4.17994403839   || 0
zich            | op              | 3.15183734894   <-> 2.87914800644   || 1
op              | dat             | 5.1858086586    <-> 6.5754699707    || 0
dat             | moment          | 2.1639995575    <-> 1.49870884418   || 1
moment          | bevond          | 8.9959487915    <-> 7.04370880127   || 1
bevond          | zelfs           | 7.77684259415   <-> 8.11366844177   || 0
zelfs           | al              | 4.62081575394   <-> 4.64902639389   || 0
al              | was             | 4.61098718643   <-> 3.8514020443    || 1
was             | dat             | 3.76466751099   <-> 4.18512630463   || 0
dat             | de              | 2.21045947075   <-> 2.50704431534   || 0
de              | laatste         | 5.26745605469   <-> 4.5139541626    || 1
laatste         | hole            | 12.4994411469   <-> 12.4240722656   || 1
hole            | </s>            | 2.47543668747   <-> 1.58007526398   || 1
<s>             | dat             | 3.60284852982   <-> 3.84995055199   || 0
dat             | iemand          | 7.98381280899   <-> 8.5792760849    || 0
iemand          | die             | 3.62492251396   <-> 2.96665406227   || 1
die             | op              | 4.15056085587   <-> 3.79286885262   || 1
op              | het             | 2.35279631615   <-> 2.19227600098   || 1
het             | punt            | 7.803814888     <-> 7.13730430603   || 1
punt            | staat           | 4.91118335724   <-> 5.25589561462   || 0
staat           | de              | 3.84125113487   <-> 5.02767038345   || 0
de              | US              | 9.53217506409   <-> 9.46114253998   || 1
US              | Open            | 1.60230255127   <-> 0.437581717968  || 1
Open            | te              | 4.84744787216   <-> 5.83731031418   || 0
te              | winnen          | 4.77201747894   <-> 4.60591077805   || 1
winnen          | op              | 4.62811231613   <-> 4.94142436981   || 0
op              | de              | 1.21718251705   <-> 1.31486415863   || 0
de              | zeventiende     | 6.95088672638   <-> 7.28467655182   || 0
zeventiende     | hole            | 12.3820228577   <-> 10.923119545    || 1
hole            | plots           | 9.68585777283   <-> 8.98355388641   || 1
plots           | zou             | 5.4503827095    <-> 4.778819561     || 1
zou             | weglopen        | 11.5534362793   <-> 10.100528717    || 1
weglopen        | omdat           | 5.69265413284   <-> 5.74944114685   || 0
omdat           | zijn            | 4.28730106354   <-> 4.03971385956   || 1
zijn            | vrouw           | 4.38780212402   <-> 3.92193722725   || 1
vrouw           | bevalt          | 10.3083696365   <-> 10.7660570145   || 0
bevalt          | verdeelde       | 13.6726884842   <-> 13.5144605637   || 1
verdeelde       | de              | 2.14666056633   <-> 2.38225150108   || 0
de              | aanwezigen      | 9.33437824249   <-> 7.99636077881   || 1
aanwezigen      | in              | 2.88859987259   <-> 2.67100691795   || 1
in              | <UNK>           | 3.29110050201   <-> 3.40083956718   || 0
<UNK>           | in              | 3.19836902618   <-> 3.54439616203   || 0
in              | twee            | 4.67674684525   <-> 5.12148284912   || 0
twee            | duidelijk       | 13.2777814865   <-> 12.6757650375   || 1
duidelijk       | gescheiden      | 11.049902916    <-> 9.70420455933   || 1
gescheiden      | kampen          | 10.765209198    <-> 10.2714271545   || 1
kampen          | </s>            | 0.728233635426  <-> 0.952653169632  || 0
<s>             | aan             | 6.01242733002   <-> 6.13706302643   || 0
aan             | de              | 0.954797148705  <-> 0.909641623497  || 1
de              | ene             | 6.06243038177   <-> 4.52707481384   || 1
ene             | kant            | 1.3009390831    <-> 0.830479383469  || 1
kant            | Phil            | 13.0165901184   <-> 12.9570426941   || 1
Phil            | die             | 5.19378089905   <-> 5.5921664238    || 0
die             | stelde          | 9.51842403412   <-> 8.55239772797   || 1
stelde          | dat             | 2.39701390266   <-> 2.512362957     || 0
dat             | een             | 3.31374764442   <-> 3.1284942627    || 1
een             | mens            | 6.4874124527    <-> 5.55739212036   || 1
mens            | meerdere        | 10.7041625977   <-> 10.5979690552   || 1
meerdere        | keren           | 5.04628229141   <-> 4.23042154312   || 1
keren           | de              | 3.67147898674   <-> 3.8114066124    || 0
de              | US              | 9.39671325684   <-> 10.0566225052   || 0
US              | Open            | 2.12565779686   <-> 0.732174694538  || 1
Open            | kan             | 5.47592735291   <-> 5.40635108948   || 1
kan             | winnen          | 4.53306245804   <-> 4.53567838669   || 0
winnen          | maar            | 3.8437268734    <-> 4.49783420563   || 0
maar            | slechts         | 7.48210430145   <-> 7.02488279343   || 1
slechts         | één           | 3.52589392662   <-> 3.4809794426    || 1
één           | keer            | 2.68450069427   <-> 1.71291947365   || 1
keer            | voor            | 3.70695161819   <-> 4.43097686768   || 0
voor            | het             | 2.30906772614   <-> 2.16883277893   || 1
het             | eerst           | 3.21472859383   <-> 2.33255362511   || 1
eerst           | vader           | 11.1704492569   <-> 10.9695930481   || 1
vader           | wordt           | 5.81850385666   <-> 5.11661815643   || 1
wordt           | </s>            | 2.04918980598   <-> 2.32762742043   || 0
<s>             | aan             | 6.06126689911   <-> 6.21577358246   || 0
aan             | de              | 0.967080175877  <-> 0.874424934387  || 1
de              | andere          | 5.33539199829   <-> 4.80536651611   || 1
andere          | kant            | 1.05258691311   <-> 0.580395758152  || 1
kant            | alle            | 9.70621585846   <-> 9.62448978424   || 1
alle            | anderen         | 6.48797416687   <-> 6.31017494202   || 1
anderen         | die             | 3.12451839447   <-> 2.78036737442   || 1
die             | vonden          | 8.84224414825   <-> 9.35435962677   || 0
vonden          | dat             | 2.14074850082   <-> 1.90780246258   || 1
dat             | Phil            | 12.3816146851   <-> 12.0581493378   || 1
Phil            | niet            | 5.66497802734   <-> 5.37632083893   || 1
niet            | goed            | 4.83296489716   <-> 5.60653591156   || 0
goed            | bij             | 5.07991600037   <-> 5.50069999695   || 0
bij             | zijn            | 2.97131109238   <-> 3.26278114319   || 0
zijn            | hoofd           | 4.92525482178   <-> 4.72271442413   || 1
hoofd           | was             | 3.22054219246   <-> 3.70976185799   || 0
was             | </s>            | 1.46709322929   <-> 1.71113348007   || 0
<s>             | elke            | 7.3719329834    <-> 6.92984676361   || 1
elke            | <UNK>           | 2.49693894386   <-> 2.67793416977   || 0
<UNK>           | kan             | 4.41711235046   <-> 4.42628955841   || 0
kan             | twee            | 7.76827383041   <-> 6.89606285095   || 1
twee            | keer            | 3.18581414223   <-> 2.224619627     || 1
keer            | vader           | 12.3617296219   <-> 10.7706832886   || 1
vader           | worden          | 3.28595972061   <-> 2.99714517593   || 1
worden          | maar            | 4.29920768738   <-> 3.63479328156   || 1
maar            | twee            | 5.89506530762   <-> 6.04742288589   || 0
twee            | keer            | 2.95972585678   <-> 3.045378685     || 0
keer            | de              | 3.64374375343   <-> 3.35684895515   || 1
de              | US              | 8.77681541443   <-> 8.31505775452   || 1
US              | Open            | 1.80782163143   <-> 0.400222480297  || 1
Open            | winnen          | 9.4035243988    <-> 7.682035923     || 1
winnen          | is              | 4.36618995667   <-> 3.11201167107   || 1
is              | er              | 3.62026357651   <-> 3.57590961456   || 1
er              | minder          | 6.50853919983   <-> 6.14468765259   || 1
minder          | gegeven         | 9.51002502441   <-> 9.05550384521   || 1
gegeven         | </s>            | 0.78783249855   <-> 0.57702755928   || 1
<s>             | alleen          | 6.03627109528   <-> 5.75204277039   || 1
alleen          | Payne           | 14.0653953552   <-> 14.7801733017   || 0
Payne           | Stewart         | 11.4082298279   <-> 11.1318855286   || 1
Stewart         | gaf             | 6.62760162354   <-> 6.04095697403   || 1
gaf             | niet            | 4.92764568329   <-> 4.17296981812   || 1
niet            | geheel          | 9.34635639191   <-> 10.0703620911   || 0
geheel          | belangeloos     | 13.5957555771   <-> 12.8035564423   || 1
belangeloos     | Phil            | 13.0965232849   <-> 13.7505931854   || 0
Phil            | gelijk          | 10.4853363037   <-> 9.37799930573   || 1
gelijk          | </s>            | 0.838693797588  <-> 0.66597867012   || 1
<s>             | en              | 4.13496208191   <-> 4.07513904572   || 1
en              | gooide          | 9.44466781616   <-> 10.3026180267   || 0
gooide          | net             | 7.52894639969   <-> 7.10688447952   || 1
net             | voor            | 3.59552097321   <-> 3.27747011185   || 1
voor            | de              | 1.33906650543   <-> 1.45154619217   || 0
de              | slotronde       | 10.856593132    <-> 10.7509784698   || 1
slotronde       | die             | 3.96071863174   <-> 4.53247070312   || 0
die             | uitgerekend     | 10.1016998291   <-> 10.0977630615   || 1
uitgerekend     | op              | 3.36635351181   <-> 3.07616853714   || 1
op              | <UNK>           | 3.38573622704   <-> 3.6611623764    || 0
<UNK>           | gespeeld        | 8.85299873352   <-> 8.23940944672   || 1
gespeeld        | werd            | 2.39431285858   <-> 3.04780960083   || 0
werd            | nog             | 6.99293279648   <-> 7.23346471786   || 0
nog             | wat             | 5.23991584778   <-> 5.16620922089   || 1
wat             | olie            | 10.0004415512   <-> 11.0413064957   || 0
olie            | op              | 3.04242038727   <-> 3.69419622421   || 0
op              | het             | 2.41134309769   <-> 2.42295455933   || 0
het             | vuur            | 6.05781459808   <-> 5.53898525238   || 1
vuur            | door            | 5.33358240128   <-> 6.37805128098   || 0
door            | te              | 4.06710243225   <-> 3.64368581772   || 1
te              | verklaren       | 7.46310520172   <-> 7.40482854843   || 1
verklaren       | </s>            | 0.507872223854  <-> 0.327761471272  || 1
<s>             | ik              | 3.6777806282    <-> 3.63918089867   || 1
ik              | persoonlijk     | 11.0628566742   <-> 11.7672290802   || 0
persoonlijk     | heb             | 5.22067499161   <-> 5.83881759644   || 0
heb             | twee            | 9.87135887146   <-> 6.90806007385   || 1
twee            | kinderen        | 4.72601413727   <-> 6.0382900238    || 0
kinderen        | </s>            | 2.9128973484    <-> 2.92844605446   || 0
<s>             | voor            | 4.61008024216   <-> 4.53084135056   || 1
voor            | geen            | 6.94038486481   <-> 6.81613636017   || 1
geen            | geld            | 6.60421609879   <-> 5.22275352478   || 1
geld            | ter             | 7.73691940308   <-> 8.34260463715   || 0
ter             | wereld          | 1.64414644241   <-> 1.2709608078    || 1
wereld          | had             | 5.27940273285   <-> 4.30561733246   || 1
had             | ik              | 1.56480193138   <-> 1.98411750793   || 0
ik              | hun             | 6.6163187027    <-> 5.65492296219   || 1
hun             | geboorte        | 7.95423603058   <-> 8.34899520874   || 0
geboorte        | willen          | 8.36326980591   <-> 7.68906974792   || 1
willen          | missen          | 6.02937698364   <-> 5.89582920074   || 1
missen          | </s>            | 0.459031254053  <-> 0.357756584883  || 1
<s>             | Engelse         | 10.8350753784   <-> 10.1219673157   || 1
Engelse         | reporters       | 9.80363845825   <-> 8.69769668579   || 1
reporters       | merkten         | 9.46494674683   <-> 9.08538532257   || 1
merkten         | niet            | 3.64935898781   <-> 3.35678529739   || 1
niet            | zonder          | 6.46096134186   <-> 6.29372930527   || 1
zonder          | trots           | 7.64925050735   <-> 8.58266353607   || 0
trots           | op              | 3.19662117958   <-> 2.31069660187   || 1
op              | dat             | 4.37148857117   <-> 4.26216220856   || 1
dat             | de              | 2.05461573601   <-> 2.88411521912   || 0
de              | oude            | 6.55497932434   <-> 7.05665111542   || 0
oude            | Shakespeare     | 11.9171295166   <-> 11.8401165009   || 1
Shakespeare     | het             | 3.99189925194   <-> 4.19510746002   || 0
het             | weer            | 6.40858459473   <-> 6.90136623383   || 0
weer            | eens            | 4.68597507477   <-> 5.10031890869   || 0
eens            | bij             | 5.01121091843   <-> 5.05088710785   || 0
bij             | het             | 2.37588214874   <-> 2.18625164032   || 1
het             | rechte          | 7.84724664688   <-> 8.12554359436   || 0
rechte          | eind            | 7.47991752625   <-> 7.41797494888   || 1
eind            | had             | 4.77333164215   <-> 4.21310329437   || 1
had             | gehad           | 5.31431770325   <-> 3.81049919128   || 1
gehad           | </s>            | 0.394380450249  <-> 0.246746242046  || 1
<s>             | to              | 11.3294458389   <-> 10.7898674011   || 1
to              | <UNK>           | 1.44142353535   <-> 1.4744181633    || 0
<UNK>           | or              | 8.89133071899   <-> 7.81950283051   || 1
or              | not             | 6.17292118073   <-> 5.35113143921   || 1
not             | to              | 4.0379858017    <-> 3.04571843147   || 1
to              | <UNK>           | 1.65418243408   <-> 1.86128616333   || 0
<UNK>           | that's          | 11.770740509    <-> 10.6623802185   || 1
that's          | the             | 3.07517528534   <-> 3.09047603607   || 0
the             | <UNK>           | 1.07804965973   <-> 1.44628441334   || 0
<UNK>           | </s>            | 1.8361569643    <-> 1.52219903469   || 1
<s>             | om              | 6.0697722435    <-> 5.64673614502   || 1
om              | een             | 2.28460645676   <-> 2.44141197205   || 0
een             | lang            | 7.43303108215   <-> 8.10054016113   || 0
lang            | verhaal         | 5.82408905029   <-> 5.91037607193   || 0
verhaal         | kort            | 10.3230867386   <-> 11.6472024918   || 0
kort            | te              | 1.58019900322   <-> 1.22130274773   || 1
te              | maken           | 3.10155582428   <-> 2.65729379654   || 1
maken           | </s>            | 1.72651791573   <-> 2.12282109261   || 0
<s>             | <UNK>           | 2.94485449791   <-> 3.08341932297   || 0
<UNK>           | werd            | 4.84180164337   <-> 4.63123512268   || 1
werd            | geboren         | 5.46554279327   <-> 5.42026996613   || 1
geboren         | precies         | 11.1026391983   <-> 10.1372852325   || 1
precies         | één           | 6.32513999939   <-> 6.89416790009   || 0
één           | dag             | 5.42344236374   <-> 4.92282485962   || 1
dag             | nadat           | 5.79168224335   <-> 5.18200206757   || 1
nadat           | haar            | 5.27168273926   <-> 5.330037117     || 0
