input           | target          | original0       <-> cbow_tfidf_lstm0 || best model: 0:first, 1:second
in              | elk             | 6.74384069443   <-> 5.91063499451   || 1
elk             | geval           | 0.492542564869  <-> 0.520386576653  || 0
geval           | te              | 3.1426486969    <-> 4.56619501114   || 0
te              | bellen          | 6.81196975708   <-> 8.04278659821   || 0
bellen          | om              | 4.42530536652   <-> 3.80537891388   || 1
om              | het             | 2.71483182907   <-> 2.64810657501   || 1
het             | even            | 5.95966148376   <-> 6.24383401871   || 0
even            | wanneer         | 8.8623046875    <-> 8.63688468933   || 1
wanneer         | en              | 5.99711990356   <-> 6.0315747261    || 0
en              | om              | 5.79746341705   <-> 6.45587158203   || 0
om              | het             | 2.68664598465   <-> 2.69008088112   || 0
het             | even            | 6.0265789032    <-> 6.3186674118    || 0
even            | waar            | 7.21836280823   <-> 8.00562572479   || 0
waar            | hij             | 2.45150494576   <-> 3.72795629501   || 0
hij             | zich            | 3.45594668388   <-> 4.36274147034   || 0
zich            | op              | 3.15183734894   <-> 3.19888591766   || 0
op              | dat             | 5.1858086586    <-> 6.0070567131    || 0
dat             | moment          | 2.1639995575    <-> 1.39266240597   || 1
moment          | bevond          | 8.9959487915    <-> 9.19180870056   || 0
bevond          | zelfs           | 7.77684259415   <-> 8.80027008057   || 0
zelfs           | al              | 4.62081575394   <-> 4.54556941986   || 1
al              | was             | 4.61098718643   <-> 4.96844768524   || 0
was             | dat             | 3.76466751099   <-> 3.25358819962   || 1
dat             | de              | 2.21045947075   <-> 2.27451133728   || 0
de              | laatste         | 5.26745605469   <-> 4.64396095276   || 1
laatste         | hole            | 12.4994411469   <-> 12.2783660889   || 1
hole            | </s>            | 2.47543668747   <-> 2.07330608368   || 1
<s>             | dat             | 3.60284852982   <-> 3.79571175575   || 0
dat             | iemand          | 7.98381280899   <-> 8.80934810638   || 0
iemand          | die             | 3.62492251396   <-> 3.3226082325    || 1
die             | op              | 4.15056085587   <-> 3.87154603004   || 1
op              | het             | 2.35279631615   <-> 2.06587672234   || 1
het             | punt            | 7.803814888     <-> 6.27214002609   || 1
punt            | staat           | 4.91118335724   <-> 5.80896663666   || 0
staat           | de              | 3.84125113487   <-> 4.31732654572   || 0
de              | US              | 9.53217506409   <-> 10.4209928513   || 0
US              | Open            | 1.60230255127   <-> 1.12971782684   || 1
Open            | te              | 4.84744787216   <-> 4.59544324875   || 1
te              | winnen          | 4.77201747894   <-> 3.95094394684   || 1
winnen          | op              | 4.62811231613   <-> 4.03121423721   || 1
op              | de              | 1.21718251705   <-> 1.32522845268   || 0
de              | zeventiende     | 6.95088672638   <-> 7.35033607483   || 0
zeventiende     | hole            | 12.3820228577   <-> 11.7692022324   || 1
hole            | plots           | 9.68585777283   <-> 10.10414505     || 0
plots           | zou             | 5.4503827095    <-> 5.44536018372   || 1
zou             | weglopen        | 11.5534362793   <-> 11.3999423981   || 1
weglopen        | omdat           | 5.69265413284   <-> 5.94852113724   || 0
omdat           | zijn            | 4.28730106354   <-> 4.83215808868   || 0
zijn            | vrouw           | 4.38780212402   <-> 4.06794071198   || 1
vrouw           | bevalt          | 10.3083696365   <-> 11.0422010422   || 0
bevalt          | verdeelde       | 13.6726884842   <-> 14.6935815811   || 0
verdeelde       | de              | 2.14666056633   <-> 2.765645504     || 0
de              | aanwezigen      | 9.33437824249   <-> 9.60198020935   || 0
aanwezigen      | in              | 2.88859987259   <-> 2.67655873299   || 1
in              | <UNK>           | 3.29110050201   <-> 3.28697514534   || 1
<UNK>           | in              | 3.19836902618   <-> 3.53018379211   || 0
in              | twee            | 4.67674684525   <-> 5.1552028656    || 0
twee            | duidelijk       | 13.2777814865   <-> 12.0028123856   || 1
duidelijk       | gescheiden      | 11.049902916    <-> 9.42927646637   || 1
gescheiden      | kampen          | 10.765209198    <-> 10.998755455    || 0
kampen          | </s>            | 0.728233635426  <-> 0.747719705105  || 0
<s>             | aan             | 6.01242733002   <-> 6.07982540131   || 0
aan             | de              | 0.954797148705  <-> 0.829359710217  || 1
de              | ene             | 6.06243038177   <-> 5.41239452362   || 1
ene             | kant            | 1.3009390831    <-> 1.55391657352   || 0
kant            | Phil            | 13.0165901184   <-> 13.2259025574   || 0
Phil            | die             | 5.19378089905   <-> 5.2754573822    || 0
die             | stelde          | 9.51842403412   <-> 9.62757015228   || 0
stelde          | dat             | 2.39701390266   <-> 3.72256660461   || 0
dat             | een             | 3.31374764442   <-> 3.17756867409   || 1
een             | mens            | 6.4874124527    <-> 6.37484455109   || 1
mens            | meerdere        | 10.7041625977   <-> 11.2598075867   || 0
meerdere        | keren           | 5.04628229141   <-> 4.39373207092   || 1
keren           | de              | 3.67147898674   <-> 4.57100486755   || 0
de              | US              | 9.39671325684   <-> 10.6164035797   || 0
US              | Open            | 2.12565779686   <-> 1.2128264904    || 1
Open            | kan             | 5.47592735291   <-> 5.23032569885   || 1
kan             | winnen          | 4.53306245804   <-> 4.60690593719   || 0
winnen          | maar            | 3.8437268734    <-> 3.87792468071   || 0
maar            | slechts         | 7.48210430145   <-> 7.09868097305   || 1
slechts         | één           | 3.52589392662   <-> 2.94441246986   || 1
één           | keer            | 2.68450069427   <-> 2.56496286392   || 1
keer            | voor            | 3.70695161819   <-> 3.80301046371   || 0
voor            | het             | 2.30906772614   <-> 2.28442454338   || 1
het             | eerst           | 3.21472859383   <-> 1.75374031067   || 1
eerst           | vader           | 11.1704492569   <-> 11.6591959      || 0
vader           | wordt           | 5.81850385666   <-> 4.90443944931   || 1
wordt           | </s>            | 2.04918980598   <-> 3.62815189362   || 0
<s>             | aan             | 6.06126689911   <-> 6.07982540131   || 0
aan             | de              | 0.967080175877  <-> 0.829359829426  || 1
de              | andere          | 5.33539199829   <-> 4.84768104553   || 1
andere          | kant            | 1.05258691311   <-> 0.940465927124  || 1
kant            | alle            | 9.70621585846   <-> 9.23522567749   || 1
alle            | anderen         | 6.48797416687   <-> 6.2579202652    || 1
anderen         | die             | 3.12451839447   <-> 3.07903432846   || 1
die             | vonden          | 8.84224414825   <-> 9.65508651733   || 0
vonden          | dat             | 2.14074850082   <-> 1.99519312382   || 1
dat             | Phil            | 12.3816146851   <-> 12.2072153091   || 1
Phil            | niet            | 5.66497802734   <-> 6.29008817673   || 0
niet            | goed            | 4.83296489716   <-> 5.52715206146   || 0
goed            | bij             | 5.07991600037   <-> 5.30214881897   || 0
bij             | zijn            | 2.97131109238   <-> 3.59486675262   || 0
zijn            | hoofd           | 4.92525482178   <-> 4.57797670364   || 1
hoofd           | was             | 3.22054219246   <-> 3.61753821373   || 0
was             | </s>            | 1.46709322929   <-> 2.0677447319    || 0
<s>             | elke            | 7.3719329834    <-> 6.85397338867   || 1
elke            | <UNK>           | 2.49693894386   <-> 2.494576931     || 1
<UNK>           | kan             | 4.41711235046   <-> 4.43813991547   || 0
kan             | twee            | 7.76827383041   <-> 6.63630962372   || 1
twee            | keer            | 3.18581414223   <-> 3.18635129929   || 0
keer            | vader           | 12.3617296219   <-> 11.953669548    || 1
vader           | worden          | 3.28595972061   <-> 4.13406991959   || 0
worden          | maar            | 4.29920768738   <-> 4.20686912537   || 1
maar            | twee            | 5.89506530762   <-> 7.01609373093   || 0
twee            | keer            | 2.95972585678   <-> 3.05540800095   || 0
keer            | de              | 3.64374375343   <-> 3.95605063438   || 0
de              | US              | 8.77681541443   <-> 9.11435699463   || 0
US              | Open            | 1.80782163143   <-> 0.827299773693  || 1
Open            | winnen          | 9.4035243988    <-> 8.66704940796   || 1
winnen          | is              | 4.36618995667   <-> 4.57612800598   || 0
is              | er              | 3.62026357651   <-> 2.60679769516   || 1
er              | minder          | 6.50853919983   <-> 6.03208827972   || 1
minder          | gegeven         | 9.51002502441   <-> 10.0453519821   || 0
gegeven         | </s>            | 0.78783249855   <-> 0.754495441914  || 1
<s>             | alleen          | 6.03627109528   <-> 6.17980098724   || 0
alleen          | Payne           | 14.0653953552   <-> 14.0030632019   || 1
Payne           | Stewart         | 11.4082298279   <-> 12.277338028    || 0
Stewart         | gaf             | 6.62760162354   <-> 7.04447174072   || 0
gaf             | niet            | 4.92764568329   <-> 4.02812337875   || 1
niet            | geheel          | 9.34635639191   <-> 10.4094839096   || 0
geheel          | belangeloos     | 13.5957555771   <-> 12.9855327606   || 1
belangeloos     | Phil            | 13.0965232849   <-> 12.8225870132   || 1
Phil            | gelijk          | 10.4853363037   <-> 10.454908371    || 1
gelijk          | </s>            | 0.838693797588  <-> 0.719959914684  || 1
<s>             | en              | 4.13496208191   <-> 4.06708335876   || 1
en              | gooide          | 9.44466781616   <-> 11.8850183487   || 0
gooide          | net             | 7.52894639969   <-> 7.42935609818   || 1
net             | voor            | 3.59552097321   <-> 2.91402482986   || 1
voor            | de              | 1.33906650543   <-> 1.31183946133   || 1
de              | slotronde       | 10.856593132    <-> 10.0465145111   || 1
slotronde       | die             | 3.96071863174   <-> 4.38770389557   || 0
die             | uitgerekend     | 10.1016998291   <-> 10.2180747986   || 0
uitgerekend     | op              | 3.36635351181   <-> 3.3877761364    || 0
op              | <UNK>           | 3.38573622704   <-> 3.71436834335   || 0
<UNK>           | gespeeld        | 8.85299873352   <-> 8.82447719574   || 1
gespeeld        | werd            | 2.39431285858   <-> 2.36414480209   || 1
werd            | nog             | 6.99293279648   <-> 7.75628614426   || 0
nog             | wat             | 5.23991584778   <-> 4.84409189224   || 1
wat             | olie            | 10.0004415512   <-> 10.7903709412   || 0
olie            | op              | 3.04242038727   <-> 3.52586364746   || 0
op              | het             | 2.41134309769   <-> 2.41563940048   || 0
het             | vuur            | 6.05781459808   <-> 6.29777431488   || 0
vuur            | door            | 5.33358240128   <-> 6.18217229843   || 0
door            | te              | 4.06710243225   <-> 3.54582381248   || 1
te              | verklaren       | 7.46310520172   <-> 8.33942317963   || 0
verklaren       | </s>            | 0.507872223854  <-> 0.500477910042  || 1
<s>             | ik              | 3.6777806282    <-> 3.49155926704   || 1
ik              | persoonlijk     | 11.0628566742   <-> 11.4252319336   || 0
persoonlijk     | heb             | 5.22067499161   <-> 4.95773172379   || 1
heb             | twee            | 9.87135887146   <-> 7.75903081894   || 1
twee            | kinderen        | 4.72601413727   <-> 4.80551147461   || 0
kinderen        | </s>            | 2.9128973484    <-> 2.86992692947   || 1
<s>             | voor            | 4.61008024216   <-> 4.73502635956   || 0
voor            | geen            | 6.94038486481   <-> 7.10523176193   || 0
geen            | geld            | 6.60421609879   <-> 5.44031906128   || 1
geld            | ter             | 7.73691940308   <-> 7.27821063995   || 1
ter             | wereld          | 1.64414644241   <-> 1.50396227837   || 1
wereld          | had             | 5.27940273285   <-> 5.3610830307    || 0
had             | ik              | 1.56480193138   <-> 2.52699065208   || 0
ik              | hun             | 6.6163187027    <-> 6.53835678101   || 1
hun             | geboorte        | 7.95423603058   <-> 8.99409484863   || 0
geboorte        | willen          | 8.36326980591   <-> 7.67718029022   || 1
willen          | missen          | 6.02937698364   <-> 5.79964208603   || 1
missen          | </s>            | 0.459031254053  <-> 0.390729218721  || 1
<s>             | Engelse         | 10.8350753784   <-> 10.6446695328   || 1
Engelse         | reporters       | 9.80363845825   <-> 9.52446174622   || 1
reporters       | merkten         | 9.46494674683   <-> 8.95538902283   || 1
merkten         | niet            | 3.64935898781   <-> 4.1003704071    || 0
niet            | zonder          | 6.46096134186   <-> 6.5975985527    || 0
zonder          | trots           | 7.64925050735   <-> 8.1734046936    || 0
trots           | op              | 3.19662117958   <-> 2.98311233521   || 1
op              | dat             | 4.37148857117   <-> 3.20697188377   || 1
dat             | de              | 2.05461573601   <-> 1.89118087292   || 1
de              | oude            | 6.55497932434   <-> 6.51167488098   || 1
oude            | Shakespeare     | 11.9171295166   <-> 10.7323894501   || 1
Shakespeare     | het             | 3.99189925194   <-> 3.58831167221   || 1
het             | weer            | 6.40858459473   <-> 6.51147842407   || 0
weer            | eens            | 4.68597507477   <-> 5.00332355499   || 0
eens            | bij             | 5.01121091843   <-> 4.93287467957   || 1
bij             | het             | 2.37588214874   <-> 2.23355603218   || 1
het             | rechte          | 7.84724664688   <-> 7.45256757736   || 1
rechte          | eind            | 7.47991752625   <-> 7.92150497437   || 0
eind            | had             | 4.77333164215   <-> 3.95597267151   || 1
had             | gehad           | 5.31431770325   <-> 3.69961905479   || 1
gehad           | </s>            | 0.394380450249  <-> 0.418181359768  || 0
<s>             | to              | 11.3294458389   <-> 10.7768478394   || 1
to              | <UNK>           | 1.44142353535   <-> 1.62323725224   || 0
<UNK>           | or              | 8.89133071899   <-> 6.83067703247   || 1
or              | not             | 6.17292118073   <-> 5.04600095749   || 1
not             | to              | 4.0379858017    <-> 2.7025783062    || 1
to              | <UNK>           | 1.65418243408   <-> 2.30833601952   || 0
<UNK>           | that's          | 11.770740509    <-> 10.8176288605   || 1
that's          | the             | 3.07517528534   <-> 3.12720227242   || 0
the             | <UNK>           | 1.07804965973   <-> 1.49822640419   || 0
<UNK>           | </s>            | 1.8361569643    <-> 1.85097229481   || 0
<s>             | om              | 6.0697722435    <-> 5.7641916275    || 1
om              | een             | 2.28460645676   <-> 2.54233360291   || 0
een             | lang            | 7.43303108215   <-> 8.11610412598   || 0
lang            | verhaal         | 5.82408905029   <-> 7.00530052185   || 0
verhaal         | kort            | 10.3230867386   <-> 10.8667964935   || 0
kort            | te              | 1.58019900322   <-> 1.11480855942   || 1
te              | maken           | 3.10155582428   <-> 2.80735516548   || 1
maken           | </s>            | 1.72651791573   <-> 2.0272154808    || 0
<s>             | <UNK>           | 2.94485449791   <-> 3.21614193916   || 0
<UNK>           | werd            | 4.84180164337   <-> 4.82290029526   || 1
werd            | geboren         | 5.46554279327   <-> 5.94595861435   || 0
geboren         | precies         | 11.1026391983   <-> 10.6766357422   || 1
precies         | één           | 6.32513999939   <-> 6.19028997421   || 1
één           | dag             | 5.42344236374   <-> 5.50289154053   || 0
dag             | nadat           | 5.79168224335   <-> 4.69516706467   || 1
nadat           | haar            | 5.27168273926   <-> 5.5027513504    || 0
haar            | vader           | 3.84456825256   <-> 3.61368012428   || 1
vader           | tweede          | 9.65188980103   <-> 9.28956985474   || 1
tweede          | was             | 4.51839256287   <-> 3.96270608902   || 1
was             | geworden        | 6.01367139816   <-> 5.89731311798   || 1
geworden        | in              | 3.3927989006    <-> 2.81545138359   || 1
in              | de              | 1.12737953663   <-> 1.18183994293   || 0
de              | US              | 9.17952728271   <-> 8.3709154129    || 1
US              | Open            | 1.21020889282   <-> 0.368161261082  || 1
Open            | </s>            | 1.18501877785   <-> 0.921177864075  || 1
<s>             | twee            | 5.71243667603   <-> 6.01736164093   || 0
twee            | weken           | 2.87791728973   <-> 3.5346159935    || 0
weken           | voor            | 5.49833440781   <-> 5.1763625145    || 1
voor            | de              | 1.07413554192   <-> 1.28489518166   || 0
de              | dokters         | 9.59841156006   <-> 10.7865228653   || 0
dokters         | hadden          | 5.04138660431   <-> 5.65143585205   || 0
hadden          | voorspeld       | 11.2751245499   <-> 10.5573101044   || 1
voorspeld       | </s>            | 1.91601967812   <-> 2.09184169769   || 0
<s>             | u               | 7.16249895096   <-> 6.67274093628   || 1
u               | begrijpt        | 6.96430969238   <-> 6.51211166382   || 1
begrijpt        | heren           | 14.2916154861   <-> 12.1093473434   || 1
heren           | sprak           | 11.0587863922   <-> 11.8724060059   || 0
sprak           | de              | 2.48577713966   <-> 1.98796665668   || 1
de              | trotse          | 9.13238048553   <-> 9.09999275208   || 1
trotse          | vader           | 6.25248193741   <-> 5.54578924179   || 1
vader           | tot             | 5.89227437973   <-> 5.71254014969   || 1
tot             | de              | 2.10622644424   <-> 1.83287620544   || 1
de              | verslaggevers   | 11.2891731262   <-> 12.0092353821   || 0
verslaggevers   | die             | 2.73981666565   <-> 3.18058776855   || 0
die             | hem             | 3.76485919952   <-> 4.77641153336   || 0
hem             | tot             | 5.60219955444   <-> 5.57490348816   || 1
tot             | in              | 4.4972820282    <-> 4.23505449295   || 1
in              | het             | 2.05546069145   <-> 1.98804342747   || 1
het             | moederhuis      | 11.0226535797   <-> 10.9175491333   || 1
moederhuis      | waren           | 5.73955631256   <-> 6.21389245987   || 0
waren           | gevolgd         | 7.90723133087   <-> 7.34525680542   || 1
gevolgd         | dat             | 7.22231578827   <-> 7.57336473465   || 0
dat             | ik              | 2.95058298111   <-> 2.92608213425   || 1
ik              | in              | 3.41448163986   <-> 3.26179838181   || 1
in              | deze            | 4.82460737228   <-> 4.34524869919   || 1
deze            | omstandigheden  | 6.13669776917   <-> 5.00821971893   || 1
omstandigheden  | niet            | 3.32607460022   <-> 3.50145721436   || 0
niet            | veel            | 4.31454849243   <-> 4.50294923782   || 0
veel            | zin             | 5.62351417542   <-> 6.37832355499   || 0
zin             | had             | 3.00212931633   <-> 2.75008749962   || 1
had             | om              | 2.94097900391   <-> 2.97513508797   || 0
om              | een             | 2.37722849846   <-> 2.41494417191   || 0
een             | <UNK>           | 1.94490993023   <-> 1.98249673843   || 0
<UNK>           | af              | 4.83900117874   <-> 4.99480867386   || 0
af              | te              | 0.191646739841  <-> 0.127943083644  || 1
te              | dwingen         | 5.40725517273   <-> 4.56506729126   || 1
dwingen         | </s>            | 0.658026814461  <-> 0.495254904032  || 1
<s>             | een             | 3.55916833878   <-> 3.69191384315   || 0
een             | <UNK>           | 1.79831528664   <-> 2.12639069557   || 0
<UNK>           | in              | 3.18404889107   <-> 3.063133955     || 1
in              | de              | 1.18761634827   <-> 1.25035262108   || 0
de              | US              | 9.68999671936   <-> 9.23865699768   || 1
US              | Open            | 1.54856288433   <-> 0.446574211121  || 1
Open            | betekent        | 8.56693744659   <-> 8.4477519989    || 1
betekent        | een             | 3.0884885788    <-> 3.15159463882   || 0
een             | extra           | 7.4422492981    <-> 6.17502975464   || 1
extra           | rondje          | 9.42015647888   <-> 10.0200052261   || 0
rondje          | van             | 3.89423847198   <-> 3.90684223175   || 0
van             | achttien        | 7.67991161346   <-> 7.29674291611   || 1
achttien        | holes           | 12.5654220581   <-> 11.6160430908   || 1
holes           | op              | 3.61598992348   <-> 4.34929943085   || 0
op              | maandag         | 8.1324224472    <-> 7.78681945801   || 1
maandag         | </s>            | 0.988341033459  <-> 0.806151747704  || 1
<s>             | de              | 1.9801145792    <-> 1.98693776131   || 0
de              | eerste          | 3.86102986336   <-> 4.4250254631    || 0
eerste          | twee            | 4.86301898956   <-> 5.23051452637   || 0
twee            | majors          | 12.3134117126   <-> 11.711774826    || 1
majors          | van             | 2.88237428665   <-> 2.62531208992   || 1
van             | het             | 2.3485789299    <-> 2.18257975578   || 1
het             | seizoen         | 5.53348588943   <-> 5.07477474213   || 1
seizoen         | hebben          | 3.97832226753   <-> 3.56663990021   || 1
hebben          | we              | 4.05107879639   <-> 4.4178647995    || 0
we              | dus             | 6.34724521637   <-> 6.03780841827   || 1
dus             | gehad           | 7.39632034302   <-> 7.07275724411   || 1
gehad           | </s>            | 1.22218453884   <-> 1.07958006859   || 1
<s>             | dit             | 5.45897293091   <-> 5.26016330719   || 1
dit             | weekend         | 4.24001932144   <-> 4.07935333252   || 1
weekend         | staat           | 5.25172710419   <-> 5.10313129425   || 1
staat           | de              | 2.08540248871   <-> 1.76535093784   || 1
de              | derde           | 5.83497047424   <-> 6.44443845749   || 0
derde           | van             | 3.02879714966   <-> 3.22541284561   || 0
van             | de              | 0.925002455711  <-> 0.987773299217  || 0
de              | vier            | 5.53453826904   <-> 5.412525177     || 1
vier            | op              | 6.08304834366   <-> 4.73966884613   || 1
op              | het             | 2.35176253319   <-> 2.37022733688   || 0
het             | programma       | 4.52687931061   <-> 4.4089012146    || 1
programma       | </s>            | 1.21130418777   <-> 1.19380509853   || 1
<s>             | de              | 2.00391411781   <-> 1.98693776131   || 1
de              | British         | 10.8079156876   <-> 10.7972888947   || 1
British         | Open            | 5.4313249588    <-> 4.10420513153   || 1
Open            | </s>            | 3.63647556305   <-> 4.6459903717    || 0
<s>             | gespeeld        | 11.7954416275   <-> 12.5271930695   || 0
gespeeld        | op              | 3.43091917038   <-> 3.46587824821   || 0
op              | de              | 1.34651505947   <-> 1.52613151073   || 0
de              | authentieke     | 10.5632505417   <-> 9.83410263062   || 1
authentieke     | <UNK>           | 1.51115739346   <-> 1.3781914711    || 1
<UNK>           | van             | 2.16690826416   <-> 1.78544521332   || 1
van             | <UNK>           | 2.12115097046   <-> 2.25809764862   || 0
<UNK>           | aan             | 6.08774662018   <-> 5.9707570076    || 1
aan             | de              | 1.08539581299   <-> 1.05691754818   || 1
de              | Schotse         | 8.12835407257   <-> 8.56073760986   || 0
Schotse         | kust            | 5.11624145508   <-> 3.75329208374   || 1
kust            | </s>            | 1.26672172546   <-> 1.46391844749   || 0
<s>             | een             | 3.4842312336    <-> 3.69191384315   || 0
een             | baan            | 8.51996517181   <-> 8.35611248016   || 1
baan            | waar            | 5.72861385345   <-> 5.24291324615   || 1
waar            | ze              | 3.59758996964   <-> 3.39151716232   || 1
ze              | geen            | 4.52241420746   <-> 4.63380670547   || 0
geen            | enkele          | 4.15759658813   <-> 3.43360948563   || 1
enkele          | kunstmatige     | 11.3046483994   <-> 10.5325641632   || 1
kunstmatige     | hindernis       | 9.20933151245   <-> 9.18912220001   || 1
hindernis       | hebben          | 3.67126584053   <-> 2.62772917747   || 1
hebben          | gelegd          | 6.57286453247   <-> 7.46009922028   || 0
gelegd          | omdat           | 5.82122135162   <-> 6.30813503265   || 0
omdat           | er              | 3.30686211586   <-> 3.05594134331   || 1
er              | een             | 2.03215050697   <-> 2.17735338211   || 0
een             | natuurlijke     | 8.63272666931   <-> 8.05396652222   || 1
natuurlijke     | hindernis       | 8.82058906555   <-> 8.55240821838   || 1
hindernis       | is              | 2.34723234177   <-> 1.96166503429   || 1
is              | die             | 4.69205760956   <-> 4.56282091141   || 1
die             | al              | 4.72787666321   <-> 4.53969955444   || 1
al              | haar            | 6.27339172363   <-> 5.87591457367   || 1
haar            | kunstmatige     | 11.1279430389   <-> 10.5571403503   || 1
kunstmatige     | collega's       | 7.32447433472   <-> 7.09408426285   || 1
collega's       | overbodig       | 10.7160491943   <-> 9.31588363647   || 1
overbodig       | maakt           | 4.82308483124   <-> 4.43838644028   || 1
maakt           | </s>            | 0.508046746254  <-> 1.03452837467   || 0
<s>             | de              | 1.81554150581   <-> 1.98693776131   || 0
de              | felle           | 9.7167673111    <-> 10.0680618286   || 0
felle           | <UNK>           | 1.95081067085   <-> 2.03098630905   || 0
<UNK>           | </s>            | 4.82036161423   <-> 4.27356243134   || 1
<s>             | verder          | 7.81018686295   <-> 7.43253517151   || 1
verder          | maaien          | 12.882932663    <-> 12.4877605438   || 1
maaien          | ze              | 3.17893409729   <-> 3.37927055359   || 0
ze              | het             | 3.59674668312   <-> 3.28098368645   || 1
het             | gras            | 8.10857200623   <-> 7.32621669769   || 1
gras            | één           | 8.0431137085    <-> 8.6767168045    || 0
één           | keer            | 3.38870716095   <-> 3.77631402016   || 0
keer            | per             | 4.96728897095   <-> 5.1521859169    || 0
per             | jaar            | 1.97182166576   <-> 2.30448436737   || 0
jaar            | en              | 3.26977491379   <-> 2.84694051743   || 1
en              | dat             | 3.89374303818   <-> 4.70702219009   || 0
dat             | is              | 2.41782426834   <-> 2.09975361824   || 1
is              | zeker           | 5.84727430344   <-> 5.91083145142   || 0
zeker           | niet            | 2.75344181061   <-> 2.72113847733   || 1
niet            | voor            | 3.64522433281   <-> 4.02535963058   || 0
voor            | de              | 1.10945439339   <-> 1.3795144558    || 0
de              | Open            | 9.82479190826   <-> 10.8063926697   || 0
Open            | </s>            | 2.29164552689   <-> 2.14853644371   || 1
<s>             | Schotten        | 13.5833330154   <-> 12.8667182922   || 1
Schotten        | zijn            | 2.84071016312   <-> 2.85348796844   || 0
zijn            | zondag          | 7.26650047302   <-> 7.56399726868   || 0
zondag          | </s>            | 3.03614139557   <-> 2.74691915512   || 1
<s>             | voor            | 4.55999040604   <-> 4.73502635956   || 0
voor            | hen             | 5.52080154419   <-> 5.57131481171   || 0
hen             | was             | 3.8390994072    <-> 3.67680811882   || 1
was             | de              | 1.69835925102   <-> 1.69319963455   || 1
de              | beste           | 5.55987358093   <-> 5.74535608292   || 0
beste           | <UNK>           | 2.03463101387   <-> 2.42959690094   || 0
<UNK>           | <UNK>           | 2.9161593914    <-> 3.55900335312   || 0
<UNK>           | Natuur          | 13.1763677597   <-> 12.9492912292   || 1
Natuur          | </s>            | 1.29532837868   <-> 1.45234429836   || 0
<s>             | Gary            | 10.7526025772   <-> 10.8834857941   || 0
Gary            | Player          | 11.8327035904   <-> 11.0235929489   || 1
Player          | vatte           | 9.49740028381   <-> 9.73824882507   || 0
vatte           | het             | 2.82582688332   <-> 3.0057914257    || 0
het             | zo              | 5.83306598663   <-> 7.1269774437    || 0
zo              | samen           | 6.89411449432   <-> 6.20565605164   || 1
samen           | </s>            | 2.02777552605   <-> 2.46694469452   || 0
<s>             | <UNK>           | 3.07802700996   <-> 3.21614193916   || 0
<UNK>           | is              | 3.07420682907   <-> 3.09769201279   || 0
is              | het             | 3.13387346268   <-> 3.11355876923   || 1
het             | bewijs          | 6.72347640991   <-> 6.2486114502    || 1
bewijs          | dat             | 1.24892246723   <-> 0.915572941303  || 1
dat             | men             | 5.20949029922   <-> 4.59455108643   || 1
men             | zelfs           | 6.20386505127   <-> 6.53838348389   || 0
zelfs           | een             | 2.22379493713   <-> 2.50887584686   || 0
een             | moeras          | 11.4033184052   <-> 11.3181715012   || 1
moeras          | nog             | 7.24598407745   <-> 7.47706890106   || 0
nog             | <UNK>           | 3.60134553909   <-> 3.85356354713   || 0
<UNK>           | kan             | 3.76786518097   <-> 3.74010038376   || 1
kan             | maken           | 3.47864603996   <-> 3.18252253532   || 1
maken           | </s>            | 0.504190027714  <-> 0.464222311974  || 1
<s>             | en              | 4.04374694824   <-> 4.06708335876   || 0
en              | de              | 2.73910093307   <-> 2.37159276009   || 1
de              | grote           | 5.2866191864    <-> 5.82700109482   || 0
grote           | Ben             | 12.4940681458   <-> 12.5421848297   || 0
Ben             | <UNK>           | 1.3154488802    <-> 1.10639059544   || 1
<UNK>           | bekeek          | 10.3100662231   <-> 10.3114471436   || 0
bekeek          | <UNK>           | 3.27973270416   <-> 3.95901870728   || 0
<UNK>           | met             | 3.28514432907   <-> 3.83107709885   || 0
met             | een             | 1.81956934929   <-> 1.92123508453   || 0
een             | scherpe         | 7.91017436981   <-> 7.6608300209    || 1
scherpe         | blik            | 6.78329086304   <-> 6.09659862518   || 1
blik            | en              | 3.27364778519   <-> 2.90402698517   || 1
en              | sprak           | 8.82983779907   <-> 8.80015182495   || 1
sprak           | </s>            | 4.44679832458   <-> 4.48972702026   || 0
<s>             | het             | 2.77428674698   <-> 2.78782010078   || 0
het             | <UNK>           | 2.46916055679   <-> 2.76910877228   || 0
<UNK>           | te              | 6.36500549316   <-> 6.736784935     || 0
te              | veel            | 3.89831113815   <-> 3.54644346237   || 1
veel            | </s>            | 3.77647018433   <-> 3.22432518005   || 1
<s>             | toen            | 5.33186531067   <-> 5.63265705109   || 0
toen            | Lee             | 9.71159934998   <-> 10.0596666336   || 0
Lee             | <UNK>           | 1.79892504215   <-> 2.1384677887    || 0
<UNK>           | met             | 4.06631422043   <-> 4.42418146133   || 0
met             | zijn            | 3.23742437363   <-> 3.27678823471   || 0
zijn            | tweede          | 6.2786283493    <-> 6.18260860443   || 1
tweede          | shot            | 10.430478096    <-> 10.1432571411   || 1
shot            | in              | 3.08631825447   <-> 2.81042361259   || 1
in              | de              | 1.14255166054   <-> 1.26172792912   || 0
de              | <UNK>           | 1.97585558891   <-> 2.42750763893   || 0
<UNK>           | belandde        | 8.14335823059   <-> 6.9925866127    || 1
belandde        | en              | 3.46216130257   <-> 3.19471764565   || 1
en              | aan             | 5.38259220123   <-> 5.5967464447    || 0
