input           | target          | original0       <-> cbow_tfidf_lstm0 || best model: 0:first, 1:second
<s>             | een             | 3.39050674438   <-> 3.69191384315   || 0
een             | par             | 12.7680482864   <-> 13.1233711243   || 0
par             | vier            | 8.34469795227   <-> 9.01535415649   || 0
vier            | komma           | 2.69885969162   <-> 2.83093595505   || 0
komma           | en              | 5.52428483963   <-> 5.20115470886   || 1
en              | niet            | 5.57401847839   <-> 6.19025707245   || 0
niet            | eens            | 5.30759811401   <-> 4.98733711243   || 1
eens            | een             | 2.81321287155   <-> 3.52715754509   || 0
een             | moeilijke       | 7.60408687592   <-> 7.16664552689   || 1
moeilijke       | </s>            | 7.88817119598   <-> 6.48659706116   || 1
<s>             | elf             | 8.12758827209   <-> 8.44116210938   || 0
elf             | slagen          | 10.7580795288   <-> 10.3470916748   || 1
slagen          | had             | 7.51709365845   <-> 7.09031486511   || 1
had             | hij             | 5.06402540207   <-> 4.02770280838   || 1
hij             | nodig           | 6.37719106674   <-> 6.37555885315   || 1
nodig           | </s>            | 1.5086414814    <-> 1.15036404133   || 1
<s>             | elf             | 8.55987453461   <-> 8.44116210938   || 1
elf             | </s>            | 5.62853813171   <-> 5.6198220253    || 1
<s>             | waaronder       | 11.6747598648   <-> 11.9219179153   || 0
waaronder       | twee            | 4.2133436203    <-> 5.17956733704   || 0
twee            | <UNK>           | 3.34116315842   <-> 3.23491120338   || 1
<UNK>           | omdat           | 8.07491493225   <-> 7.54607248306   || 1
omdat           | hij             | 2.18297958374   <-> 2.34388828278   || 0
hij             | van             | 4.85961723328   <-> 4.64579677582   || 1
van             | <UNK>           | 2.72722482681   <-> 2.9099779129    || 0
<UNK>           | op              | 4.22551822662   <-> 4.22744321823   || 0
op              | een             | 2.27283525467   <-> 2.38799142838   || 0
een             | <UNK>           | 1.87667942047   <-> 2.28375816345   || 0
<UNK>           | bal             | 10.3258132935   <-> 9.17284870148   || 1
bal             | had             | 3.76534032822   <-> 4.31725502014   || 0
had             | <UNK>           | 3.29568624496   <-> 3.60033679008   || 0
<UNK>           | </s>            | 1.63166797161   <-> 1.81346225739   || 0
<s>             | toen            | 5.18239688873   <-> 5.63265705109   || 0
toen            | hij             | 1.96630525589   <-> 2.37141180038   || 0
hij             | na              | 4.76811408997   <-> 5.20157432556   || 0
na              | zijn            | 3.28356814384   <-> 3.42209529877   || 0
zijn            | achtste         | 7.03370094299   <-> 6.92601013184   || 1
achtste         | shot            | 10.9170837402   <-> 10.8907442093   || 1
shot            | eindelijk       | 7.06589126587   <-> 7.56877756119   || 0
eindelijk       | op              | 3.98376345634   <-> 3.61275815964   || 1
op              | de              | 1.37987720966   <-> 1.37849247456   || 1
de              | green           | 12.2761707306   <-> 12.2200336456   || 1
green           | lag             | 7.5964345932    <-> 6.14649534225   || 1
lag             | waar            | 6.25869178772   <-> 6.12755393982   || 1
waar            | hij             | 1.93021416664   <-> 2.37856006622   || 0
hij             | met             | 3.97542881966   <-> 4.07239627838   || 0
met             | zijn            | 3.15443348885   <-> 3.32805633545   || 0
zijn            | tweede          | 5.69075775146   <-> 5.76043510437   || 0
tweede          | dwars           | 13.1995820999   <-> 12.7933626175   || 1
dwars           | doorheen        | 9.13670825958   <-> 8.97311878204   || 1
doorheen        | was             | 5.90086269379   <-> 6.103556633     || 0
was             | <UNK>           | 3.60947751999   <-> 3.52143001556   || 1
<UNK>           | had             | 5.90960168839   <-> 4.60998249054   || 1
had             | hij             | 1.57578980923   <-> 2.00338745117   || 0
hij             | nog             | 3.81372594833   <-> 3.58763098717   || 1
nog             | eens            | 3.52900886536   <-> 3.26573777199   || 1
eens            | drie            | 5.65686798096   <-> 5.54917526245   || 1
drie            | <UNK>           | 3.16093349457   <-> 3.42845106125   || 0
<UNK>           | nodig           | 5.43381404877   <-> 4.78163480759   || 1
nodig           | </s>            | 0.680479764938  <-> 0.649267792702  || 1
<s>             | lezers          | 10.9623699188   <-> 10.6630983353   || 1
lezers          | van             | 2.94308328629   <-> 2.95913076401   || 0
van             | Knack           | 9.91069316864   <-> 9.8544883728    || 1
Knack           | kennen          | 7.13738965988   <-> 7.27175235748   || 0
kennen          | John            | 9.39416217804   <-> 8.91030311584   || 1
John            | <UNK>           | 1.3537299633    <-> 1.37495875359   || 0
<UNK>           | wij             | 9.68338871002   <-> 9.81642246246   || 0
wij             | hebben          | 5.21406126022   <-> 4.43148899078   || 1
hebben          | u               | 7.53283834457   <-> 7.4462928772    || 1
u               | al              | 4.05963516235   <-> 4.10521697998   || 0
al              | meermaals       | 7.31463813782   <-> 6.92076301575   || 1
meermaals       | over            | 5.21574926376   <-> 5.34184169769   || 0
over            | hem             | 4.90941572189   <-> 5.11898136139   || 0
hem             | verteld         | 6.26409101486   <-> 6.09124660492   || 1
verteld         | </s>            | 0.530095815659  <-> 0.423468142748  || 1
<s>             | een             | 3.60508441925   <-> 3.69191384315   || 0
een             | <UNK>           | 1.80322408676   <-> 2.12639069557   || 0
<UNK>           | buiten          | 8.47009086609   <-> 8.42297554016   || 1
buiten          | categorie       | 10.9926815033   <-> 10.8918523788   || 1
categorie       | die             | 4.00770378113   <-> 4.84593296051   || 0
die             | in              | 3.08470726013   <-> 3.01929068565   || 1
